Aggregate Date,Provider,Location,5G (%),5G Roaming (%),4G (%),4G Roaming (%),3G (%),3G Roaming (%),2G (%),2G Roaming (%),No Coverage (%),5G Sample Count,5G Roaming Sample Count,4G Sample Count,4G Roaming Sample Count,3G Sample Count,3G Roaming Sample Count,2G Sample Count,2G Roaming Sample Count,No Coverage Sample Count,Total Sample Count,Total Device Count,Total Scan Count
2021,Tigo,Colombia,0,0,85.01,1.08,9.7,0.74,0.3,0.12,3.05,0,0,76438582,355147,7499954,466412,252111,37561,2156375,87206142,73693,156841150
2021,Claro,Colombia,0,0,76.81,0.69,16.06,0.35,1.87,0.04,4.18,4,0,151731629,895549,28810422,567469,2496433,19908,4640621,189162035,148108,335910797
2021,Avantel,Colombia,0,0,60.99,3.78,0.54,27.68,0,1.7,5.32,0,0,6041481,176473,17732,2391186,0,127058,346059,9099989,9217,15138793
2021,Movistar,Colombia,0,0,59.33,14.93,18.84,0.57,1.31,0.12,4.9,0,0,65701932,15596450,17817651,342666,1095583,125059,3453580,104132921,80021,186233534
2021,ETB (MVNO),Colombia,0,0,0,81.85,0,13.38,0,0.63,4.14,0,0,0,6102222,0,846147,0,46341,192521,7187231,5073,11812504
