Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Putumayo, Colombia;;jul-20;4445;899;all;N/A;median;899;35;6074;4299;6.07;4.30
All Providers Combined;Quindio, Colombia;;jul-20;30731;7071;all;N/A;median;7071;26;19655;5099;19.66;5.10
All Providers Combined;Risaralda, Colombia;;jul-20;90343;21069;all;N/A;median;21069;25;19563;5282;19.56;5.28
All Providers Combined;San Andrés and Providencia, Colombia;;jul-20;1001;196;all;N/A;median;196;92;1651;1836;1.65;1.84
All Providers Combined;Santander Department, Colombia;;jul-20;191518;44794;all;N/A;median;44794;26;24654;5630;24.65;5.63
All Providers Combined;Sucre, Colombia;;jul-20;16227;3744;all;N/A;median;3744;37;10162;4655;10.16;4.66
All Providers Combined;Tolima, Colombia;;jul-20;58960;14708;all;N/A;median;14708;24;14457;5387;14.46;5.39
All Providers Combined;Valle del Cauca, Colombia;;jul-20;282627;74626;all;N/A;median;74626;24;23085;5928;23.09;5.93
All Providers Combined;Vaupes, Colombia;;jul-20;8;3;all;N/A;median;3;21;25557;14221;25.56;14.22
All Providers Combined;Vichada, Colombia;;jul-20;2;2;all;N/A;median;2;44;24376;21424;24.38;21.42
All Providers Combined;Guaviare, Colombia;;jul-20;936;171;all;N/A;median;171;34;5897;3142;5.90;3.14
All Providers Combined;Antioquia, Colombia;;Aug 2020;499645;128339;all;N/A;median;128339;21;25018;5204;25.02;5.20
All Providers Combined;Arauca, Colombia;;Aug 2020;2463;541;all;N/A;median;541;33;4411;2536;4.41;2.54
All Providers Combined;Atlantico, Colombia;;Aug 2020;146134;39244;all;N/A;median;39244;30;23244;5299;23.24;5.30
All Providers Combined;Bogota, Colombia;;Aug 2020;1300658;330519;all;N/A;median;330519;13;28905;6370;28.91;6.37
All Providers Combined;Bolivar, Colombia;;Aug 2020;72395;17753;all;N/A;median;17753;25;22255;5164;22.26;5.16
All Providers Combined;Boyaca, Colombia;;Aug 2020;51802;11689;all;N/A;median;11689;21;11949;4872;11.95;4.87
All Providers Combined;Caldas, Colombia;;Aug 2020;59496;12883;all;N/A;median;12883;23;21331;5164;21.33;5.16
All Providers Combined;Caquetá, Colombia;;Aug 2020;14185;2118;all;N/A;median;2118;32;11358;6064;11.36;6.06
All Providers Combined;Casanare, Colombia;;Aug 2020;14233;3401;all;N/A;median;3401;20;16744;5140;16.74;5.14
All Providers Combined;Cauca Department, Colombia;;Aug 2020;48903;11486;all;N/A;median;11486;29;13395;5279;13.40;5.28
All Providers Combined;Cesar, Colombia;;Aug 2020;33242;7950;all;N/A;median;7950;38;17040;5217;17.04;5.22
All Providers Combined;Choco, Colombia;;Aug 2020;1879;552;all;N/A;median;552;46;4757;892;4.76;0.89
All Providers Combined;Cordoba, Colombia;;Aug 2020;39258;9092;all;N/A;median;9092;30;12284;4986;12.28;4.99
All Providers Combined;Cundinamarca, Colombia;;Aug 2020;232773;59858;all;N/A;median;59858;15;21573;5692;21.57;5.69
All Providers Combined;Guainia, Colombia;;Aug 2020;3;2;all;N/A;median;2;56;4051;2208;4.05;2.21
All Providers Combined;Huila, Colombia;;Aug 2020;52258;13599;all;N/A;median;13599;28;10962;4847;10.96;4.85
All Providers Combined;La Guajira, Colombia;;Aug 2020;8610;1997;all;N/A;median;1997;42;15044;5658;15.04;5.66
All Providers Combined;Magdalena, Colombia;;Aug 2020;51494;14191;all;N/A;median;14191;33;20713;5533;20.71;5.53
All Providers Combined;Meta, Colombia;;Aug 2020;49892;11026;all;N/A;median;11026;18;21360;5699;21.36;5.70
All Providers Combined;Narino, Colombia;;Aug 2020;40401;9349;all;N/A;median;9349;36;11629;5143;11.63;5.14
All Providers Combined;North Santander, Colombia;;Aug 2020;65535;16907;all;N/A;median;16907;37;15792;5230;15.79;5.23
All Providers Combined;Putumayo, Colombia;;Aug 2020;3877;742;all;N/A;median;742;31;7308;5097;7.31;5.10
All Providers Combined;Quindio, Colombia;;Aug 2020;28473;6657;all;N/A;median;6657;25;21229;5167;21.23;5.17
All Providers Combined;Risaralda, Colombia;;Aug 2020;96933;23217;all;N/A;median;23217;26;19243;5223;19.24;5.22
All Providers Combined;San Andrés and Providencia, Colombia;;Aug 2020;842;183;all;N/A;median;183;91;1310;1822;1.31;1.82
All Providers Combined;Santander Department, Colombia;;Aug 2020;210842;48441;all;N/A;median;48441;27;26122;5824;26.12;5.82
All Providers Combined;Sucre, Colombia;;Aug 2020;14496;3564;all;N/A;median;3564;31;12401;4496;12.40;4.50
All Providers Combined;Tolima, Colombia;;Aug 2020;52242;14359;all;N/A;median;14359;23;15115;5256;15.12;5.26
All Providers Combined;Valle del Cauca, Colombia;;Aug 2020;289948;76752;all;N/A;median;76752;23;24712;6003;24.71;6.00
All Providers Combined;Vichada, Colombia;;Aug 2020;5;4;all;N/A;median;4;73;3083;1593;3.08;1.59
All Providers Combined;Guaviare, Colombia;;Aug 2020;473;96;all;N/A;median;96;28;5726;2438;5.73;2.44
All Providers Combined;Amazonas, Colombia;;sep-20;11;7;all;N/A;median;7;272;840;1685;0.84;1.69
All Providers Combined;Antioquia, Colombia;;sep-20;430979;118194;all;N/A;median;118194;19;26291;5269;26.29;5.27
All Providers Combined;Arauca, Colombia;;sep-20;1802;386;all;N/A;median;386;41;4385;1770;4.39;1.77
All Providers Combined;Atlantico, Colombia;;sep-20;134819;36793;all;N/A;median;36793;30;22044;5243;22.04;5.24
All Providers Combined;Bogota, Colombia;;sep-20;1050507;288536;all;N/A;median;288536;12;30420;6728;30.42;6.73
All Providers Combined;Bolivar, Colombia;;sep-20;64800;16381;all;N/A;median;16381;25;22952;5186;22.95;5.19
All Providers Combined;Boyaca, Colombia;;sep-20;46941;10795;all;N/A;median;10795;19;14138;5183;14.14;5.18
All Providers Combined;Caldas, Colombia;;sep-20;56182;13107;all;N/A;median;13107;22;23569;5228;23.57;5.23
All Providers Combined;Caquetá, Colombia;;sep-20;7297;1644;all;N/A;median;1644;33;15020;5958;15.02;5.96
All Providers Combined;Casanare, Colombia;;sep-20;14871;3212;all;N/A;median;3212;19;17783;5338;17.78;5.34
All Providers Combined;Cauca Department, Colombia;;sep-20;54730;12235;all;N/A;median;12235;29;14528;5426;14.53;5.43
All Providers Combined;Cesar, Colombia;;sep-20;39454;8543;all;N/A;median;8543;35;17863;5250;17.86;5.25
All Providers Combined;Choco, Colombia;;sep-20;1568;466;all;N/A;median;466;46;5079;866;5.08;0.87
All Providers Combined;Cordoba, Colombia;;sep-20;37387;9236;all;N/A;median;9236;27;14740;5151;14.74;5.15
All Providers Combined;Cundinamarca, Colombia;;sep-20;190375;51757;all;N/A;median;51757;15;22982;5918;22.98;5.92
All Providers Combined;Guainia, Colombia;;sep-20;10;5;all;N/A;median;5;22;9729;6073;9.73;6.07
All Providers Combined;Huila, Colombia;;sep-20;48093;12905;all;N/A;median;12905;28;10332;4963;10.33;4.96
All Providers Combined;La Guajira, Colombia;;sep-20;8378;2064;all;N/A;median;2064;39;15054;5741;15.05;5.74
All Providers Combined;Magdalena, Colombia;;sep-20;58555;16142;all;N/A;median;16142;26;24389;5867;24.39;5.87
All Providers Combined;Meta, Colombia;;sep-20;40290;9851;all;N/A;median;9851;17;23237;5921;23.24;5.92
All Providers Combined;Narino, Colombia;;sep-20;37626;9328;all;N/A;median;9328;34;14819;5587;14.82;5.59
All Providers Combined;North Santander, Colombia;;sep-20;60748;16440;all;N/A;median;16440;36;16869;5683;16.87;5.68
All Providers Combined;Putumayo, Colombia;;sep-20;3561;775;all;N/A;median;775;29;8431;7407;8.43;7.41
All Providers Combined;Quindio, Colombia;;sep-20;29778;6942;all;N/A;median;6942;27;21656;5158;21.66;5.16
