place_name,aggregate_date,isp_name,total_samples,consistency_broadband,consistency_ultra_broadband
Arauca,2020-11-01T00:00:00Z,Claro,1,0,0
Arauca,2020-12-01T00:00:00Z,All providers combined,72,0.0416666666666667,0.0416666666666667
Arauca,2020-12-01T00:00:00Z,Tigo,1,1,1
Arauca,2020-12-01T00:00:00Z,Movistar,71,0.028169014084507,0.028169014084507
Arauca,2021-01-01T00:00:00Z,Claro,1,0,0
Arauca,2021-01-01T00:00:00Z,All providers combined,92,0.0978260869565217,0.0760869565217391
Arauca,2021-01-01T00:00:00Z,Movistar,91,0.0989010989010989,0.0769230769230769
Arauca,2021-02-01T00:00:00Z,Movistar,104,0.115384615384615,0.0865384615384615
Arauca,2021-02-01T00:00:00Z,All providers combined,106,0.113207547169811,0.0849056603773585
Arauca,2021-02-01T00:00:00Z,Claro,2,0,0
Arauca,2021-03-01T00:00:00Z,Movistar,116,0.129310344827586,0.112068965517241
Arauca,2021-03-01T00:00:00Z,All providers combined,116,0.129310344827586,0.112068965517241
Arauca,2021-04-01T00:00:00Z,All providers combined,109,0.0825688073394495,0.073394495412844
Arauca,2021-04-01T00:00:00Z,ETB,4,0.25,0
Arauca,2021-04-01T00:00:00Z,Movistar,105,0.0761904761904762,0.0761904761904762
Arauca,2021-05-01T00:00:00Z,All providers combined,98,0.0306122448979592,0.0102040816326531
Arauca,2021-05-01T00:00:00Z,Movistar,90,0.0222222222222222,0.0111111111111111
Arauca,2021-05-01T00:00:00Z,ETB,8,0.125,0
Arauca,2021-06-01T00:00:00Z,Tigo,1,1,0
Arauca,2021-06-01T00:00:00Z,All providers combined,175,0.182857142857143,0.131428571428571
Arauca,2021-06-01T00:00:00Z,Movistar,163,0.147239263803681,0.122699386503067
Arauca,2021-06-01T00:00:00Z,ETB,10,0.7,0.3
Arauca,2021-06-01T00:00:00Z,Claro,1,0,0
Arauca,2021-07-01T00:00:00Z,ETB,1,0,0
Arauca,2021-07-01T00:00:00Z,Movistar,157,0.0191082802547771,0
Arauca,2021-07-01T00:00:00Z,All providers combined,158,0.0189873417721519,0
Arauca,2021-08-01T00:00:00Z,All providers combined,170,0.0235294117647059,0.00588235294117647
Arauca,2021-08-01T00:00:00Z,Movistar,170,0.0235294117647059,0.00588235294117647
Arauca,2021-09-01T00:00:00Z,Claro,1,0,0
Arauca,2021-09-01T00:00:00Z,Tigo,1,1,0
Arauca,2021-09-01T00:00:00Z,Movistar,178,0.0449438202247191,0.0337078651685393
Arauca,2021-09-01T00:00:00Z,All providers combined,180,0.05,0.0333333333333333
Arauca,2021-10-01T00:00:00Z,Claro,1,1,0
Arauca,2021-10-01T00:00:00Z,All providers combined,152,0.0460526315789474,0
Arauca,2021-10-01T00:00:00Z,Movistar,151,0.0397350993377483,0
Arauca,2021-11-01T00:00:00Z,Claro,1,0,0
Arauca,2021-11-01T00:00:00Z,All providers combined,151,0.0463576158940397,0.0198675496688742
Arauca,2021-11-01T00:00:00Z,Movistar,150,0.0466666666666667,0.02
Arauca,2021-12-01T00:00:00Z,All providers combined,149,0.0604026845637584,0.0402684563758389
Arauca,2021-12-01T00:00:00Z,Movistar,149,0.0604026845637584,0.0402684563758389
Arauca,2022-01-01T00:00:00Z,All providers combined,144,0.0625,0.0277777777777778
Arauca,2022-01-01T00:00:00Z,Claro,2,1,0.5
Arauca,2022-01-01T00:00:00Z,Movistar,142,0.0492957746478873,0.0211267605633803
Arauca,2022-02-01T00:00:00Z,Claro,1,0,0
Arauca,2022-02-01T00:00:00Z,All providers combined,136,0.0588235294117647,0.0367647058823529
