Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
ETB;Antioquia, Colombia;;Jan 2021;1473;383;all;N/A;mean;383;36;27758;23399;27.76;23.40
ETB;Atlantico, Colombia;;Jan 2021;1180;364;all;N/A;mean;364;28;16521;12931;16.52;12.93
ETB;Bogota, Colombia;;Jan 2021;286723;88122;all;N/A;mean;88122;16;66957;38058;66.96;38.06
ETB;Bolivar, Colombia;;Jan 2021;6;5;all;N/A;mean;5;291;23056;15249;23.06;15.25
ETB;Boyaca, Colombia;;Jan 2021;182;53;all;N/A;mean;53;38;15762;16588;15.76;16.59
ETB;Caldas, Colombia;;Jan 2021;48;22;all;N/A;mean;22;22;17415;16446;17.42;16.45
ETB;Cauca Department, Colombia;;Jan 2021;78;35;all;N/A;mean;35;19;19851;17610;19.85;17.61
ETB;Cesar, Colombia;;Jan 2021;2;1;all;N/A;mean;1;48;1205;1673;1.21;1.67
ETB;Cordoba, Colombia;;Jan 2021;1446;418;all;N/A;mean;418;27;15279;16072;15.28;16.07
ETB;Cundinamarca, Colombia;;Jan 2021;11611;3457;all;N/A;mean;3457;21;47127;29994;47.13;29.99
ETB;Huila, Colombia;;Jan 2021;344;106;all;N/A;mean;106;34;12056;12093;12.06;12.09
ETB;Magdalena, Colombia;;Jan 2021;586;137;all;N/A;mean;137;39;15846;15767;15.85;15.77
ETB;Meta, Colombia;;Jan 2021;4046;1035;all;N/A;mean;1035;31;19207;14980;19.21;14.98
ETB;Narino, Colombia;;Jan 2021;5;5;all;N/A;mean;5;27;38630;37330;38.63;37.33
ETB;North Santander, Colombia;;Jan 2021;627;191;all;N/A;mean;191;34;13420;15097;13.42;15.10
ETB;Quindio, Colombia;;Jan 2021;1;1;all;N/A;mean;1;14;878;1015;0.88;1.02
ETB;Risaralda, Colombia;;Jan 2021;140;42;all;N/A;mean;42;58;3279;4199;3.28;4.20
