Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;North Santander, Colombia;;jul-20;62179;16589;all;N/A;mean;16589;52;33968;23525;33.97;23.53
All Providers Combined;Putumayo, Colombia;;jul-20;4445;899;all;N/A;mean;899;59;11654;10166;11.65;10.17
All Providers Combined;Quindio, Colombia;;jul-20;30731;7071;all;N/A;mean;7071;38;25995;5897;26.00;5.90
All Providers Combined;Risaralda, Colombia;;jul-20;90343;21069;all;N/A;mean;21069;38;27797;8180;27.80;8.18
All Providers Combined;San Andrés and Providencia, Colombia;;jul-20;1001;196;all;N/A;mean;196;98;4572;6146;4.57;6.15
All Providers Combined;Santander Department, Colombia;;jul-20;191518;44794;all;N/A;mean;44794;44;36313;22380;36.31;22.38
All Providers Combined;Sucre, Colombia;;jul-20;16227;3744;all;N/A;mean;3744;75;21475;13381;21.48;13.38
All Providers Combined;Tolima, Colombia;;jul-20;58960;14708;all;N/A;mean;14708;41;28975;18105;28.98;18.11
All Providers Combined;Valle del Cauca, Colombia;;jul-20;282627;74626;all;N/A;mean;74626;36;37619;22440;37.62;22.44
All Providers Combined;Vaupes, Colombia;;jul-20;8;3;all;N/A;mean;3;20;21924;11915;21.92;11.92
All Providers Combined;Vichada, Colombia;;jul-20;2;2;all;N/A;mean;2;44;24376;21424;24.38;21.42
All Providers Combined;Guaviare, Colombia;;jul-20;936;171;all;N/A;mean;171;52;12420;11980;12.42;11.98
All Providers Combined;Antioquia, Colombia;;Aug 2020;499645;128339;all;N/A;mean;128339;34;33997;10122;34.00;10.12
All Providers Combined;Arauca, Colombia;;Aug 2020;2463;541;all;N/A;mean;541;68;7368;6449;7.37;6.45
All Providers Combined;Atlantico, Colombia;;Aug 2020;146134;39244;all;N/A;mean;39244;40;36310;19137;36.31;19.14
All Providers Combined;Bogota, Colombia;;Aug 2020;1300658;330519;all;N/A;mean;330519;24;41483;18124;41.48;18.12
All Providers Combined;Bolivar, Colombia;;Aug 2020;72395;17753;all;N/A;mean;17753;39;35389;23239;35.39;23.24
All Providers Combined;Boyaca, Colombia;;Aug 2020;51802;11689;all;N/A;mean;11689;39;22107;9421;22.11;9.42
All Providers Combined;Caldas, Colombia;;Aug 2020;59496;12883;all;N/A;mean;12883;34;27260;6942;27.26;6.94
All Providers Combined;Caquetá, Colombia;;Aug 2020;14185;2118;all;N/A;mean;2118;42;19030;10620;19.03;10.62
All Providers Combined;Casanare, Colombia;;Aug 2020;14233;3401;all;N/A;mean;3401;34;25532;6805;25.53;6.81
