Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Tigo;Antioquia, Colombia;;Dec 2018;92620;52396;all;N/A;mean;27147;27;15664;6387;15.66;6.39
Tigo;Atlantico, Colombia;;Dec 2018;8857;4676;all;N/A;mean;2424;23;14999;4485;15.00;4.49
Tigo;Bogota, Colombia;;Dec 2018;18122;10532;all;N/A;mean;6125;21;18005;8558;18.01;8.56
Tigo;Bolivar, Colombia;;Dec 2018;9103;4747;all;N/A;mean;2358;24;12780;4064;12.78;4.06
Tigo;Boyaca, Colombia;;Dec 2018;814;448;all;N/A;mean;226;44;11187;2616;11.19;2.62
Tigo;Caldas, Colombia;;Dec 2018;6127;3279;all;N/A;mean;1768;30;13943;5793;13.94;5.79
Tigo;Caquetá, Colombia;;Dec 2018;6;4;all;N/A;mean;4;39;25047;23197;25.05;23.20
Tigo;Cauca Department, Colombia;;Dec 2018;2976;1275;all;N/A;mean;613;54;13201;6769;13.20;6.77
Tigo;Cesar, Colombia;;Dec 2018;2716;1413;all;N/A;mean;673;54;10470;2179;10.47;2.18
Tigo;Choco, Colombia;;Dec 2018;168;101;all;N/A;mean;43;57;7120;5095;7.12;5.10
Tigo;Cordoba, Colombia;;Dec 2018;2733;1536;all;N/A;mean;691;48;11762;2688;11.76;2.69
Tigo;Cundinamarca, Colombia;;Dec 2018;3523;1682;all;N/A;mean;941;31;15875;9920;15.88;9.92
Tigo;La Guajira, Colombia;;Dec 2018;20;12;all;N/A;mean;8;83;3994;2886;3.99;2.89
Tigo;Magdalena, Colombia;;Dec 2018;2618;1424;all;N/A;mean;725;27;11757;3675;11.76;3.68
Tigo;Meta, Colombia;;Dec 2018;1553;826;all;N/A;mean;444;60;13355;2272;13.36;2.27
Tigo;Narino, Colombia;;Dec 2018;101;56;all;N/A;mean;28;45;7205;1590;7.21;1.59
Tigo;North Santander, Colombia;;Dec 2018;2704;1555;all;N/A;mean;907;45;11654;4886;11.65;4.89
Tigo;Quindio, Colombia;;Dec 2018;3660;1877;all;N/A;mean;927;42;10484;2711;10.48;2.71
Tigo;Risaralda, Colombia;;Dec 2018;15581;8562;all;N/A;mean;4122;34;11004;4423;11.00;4.42
Tigo;San Andrés and Providencia, Colombia;;Dec 2018;16;12;all;N/A;mean;12;163;4971;6540;4.97;6.54
Tigo;Santander Department, Colombia;;Dec 2018;12924;6641;all;N/A;mean;3351;52;12878;4046;12.88;4.05
Tigo;Sucre, Colombia;;Dec 2018;1320;808;all;N/A;mean;414;34;11518;2423;11.52;2.42
Tigo;Tolima, Colombia;;Dec 2018;3971;1942;all;N/A;mean;1031;48;14364;7524;14.36;7.52
Tigo;Valle del Cauca, Colombia;;Dec 2018;29230;14387;all;N/A;mean;6292;45;13684;7909;13.68;7.91
EMCALI;Antioquia, Colombia;;Dec 2018;24;14;all;N/A;mean;12;60;7322;1876;7.32;1.88
EMCALI;Bogota, Colombia;;Dec 2018;6;1;all;N/A;mean;1;44;3113;744;3.11;0.74
EMCALI;Cauca Department, Colombia;;Dec 2018;23;16;all;N/A;mean;6;36;3708;1639;3.71;1.64
EMCALI;Choco, Colombia;;Dec 2018;22;12;all;N/A;mean;11;33;4063;669;4.06;0.67
EMCALI;Cundinamarca, Colombia;;Dec 2018;2;1;all;N/A;mean;1;30;3094;707;3.09;0.71
EMCALI;Risaralda, Colombia;;Dec 2018;1;1;all;N/A;mean;1;15;1916;274;1.92;0.27
EMCALI;Tolima, Colombia;;Dec 2018;7;4;all;N/A;mean;4;64;1692;579;1.69;0.58
EMCALI;Valle del Cauca, Colombia;;Dec 2018;11348;6876;all;N/A;mean;3647;43;8751;3712;8.75;3.71
Tigo;Antioquia, Colombia;;Jan 2019;155893;86475;all;N/A;mean;43497;26;16254;6486;16.25;6.49
Tigo;Arauca, Colombia;;Jan 2019;11;10;all;N/A;mean;2;105;2613;447;2.61;0.45
Tigo;Atlantico, Colombia;;Jan 2019;20901;10194;all;N/A;mean;4901;33;14483;4289;14.48;4.29
Tigo;Bogota, Colombia;;Jan 2019;33518;18674;all;N/A;mean;10547;24;16790;8084;16.79;8.08
Tigo;Bolivar, Colombia;;Jan 2019;17693;9051;all;N/A;mean;4331;29;13316;3538;13.32;3.54
Tigo;Boyaca, Colombia;;Jan 2019;1703;1015;all;N/A;mean;525;29;11569;2666;11.57;2.67
