Aggregate Date;Provider;Location;5G (%);5G Roaming (%);4G (%);4G Roaming (%);3G (%);3G Roaming (%);2G (%);2G Roaming (%);No Coverage (%);5G Sample Count;5G Roaming Sample Count;4G Sample Count;4G Roaming Sample Count;3G Sample Count;3G Roaming Sample Count;2G Sample Count;2G Roaming Sample Count;No Coverage Sample Count;Total Sample Count;Total Device Count;Total Scan Count
2018;All Providers Combined;Colombia;0;0;54.6;4.31;26.9;4.23;2.63;0.96;6.32;0;0;178009235;15111702;84468405;11094785;6808062;2196583;14226615;311915387;338058;724469352
2019;All Providers Combined;Colombia;0;0;55.28;4.52;19.84;3.15;1.92;0.49;14.76;0;0;410961644;34405838;140102346;19208879;11593462;3020175;45914121;665206465;580948;1158422298
2020;All Providers Combined;Colombia;0;0;66.07;4.86;18.43;2.25;1.75;0.31;6.29;54;0;401614856;29730701;111717408;11647653;9553817;1681130;15560592;581506211;655812;1137547742
2021;All Providers Combined;Colombia;0;0;71.36;6.64;14.02;2.41;1.23;0.16;4.19;4;0;304244326;24995203;54159720;7214259;3844127;421589;11046030;405925258;328644;819147516
2022;All Providers Combined;Colombia;0.01;0;72.47;9.84;8.53;1.49;0.72;0.08;6.87;326;0;274383902;32452574;24855668;2960971;1543382;178708;7737551;344113082;217003;1152355434
