Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;Jan 2023;669;108;all;N/A;median;108;38;8195;2269;8.20;2.27
All Providers Combined;Montería, Montería, Córdoba, Colombia;;Jan 2023;8558;2745;all;N/A;median;2745;15;64642;25231;64.64;25.23
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;Jan 2023;218;18;all;N/A;median;18;44;83320;22146;83.32;22.15
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;Jan 2023;644;150;all;N/A;median;150;12;16938;16007;16.94;16.01
All Providers Combined;Neiva, Neiva, Huila, Colombia;;Jan 2023;13720;3801;all;N/A;median;3801;19;62853;30641;62.85;30.64
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;Jan 2023;2506;849;all;N/A;median;849;33;73308;28416;73.31;28.42
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;Jan 2023;13484;4110;all;N/A;median;4110;14;77479;28435;77.48;28.44
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Jan 2023;24515;7103;all;N/A;median;7103;10;98643;35721;98.64;35.72
All Providers Combined;Pasto, Pasto, Narino, Colombia;;Jan 2023;12991;4059;all;N/A;median;4059;22;58219;28915;58.22;28.92
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;Jan 2023;22339;6872;all;N/A;median;6872;25;71633;28525;71.63;28.53
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;Jan 2023;236;63;all;N/A;median;63;25;28815;34540;28.82;34.54
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;Jan 2023;21685;6329;all;N/A;median;6329;21;81682;27862;81.68;27.86
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;Jan 2023;2057;355;all;N/A;median;355;24;39832;33456;39.83;33.46
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Jan 2023;46788;14810;all;N/A;median;14810;17;94648;34752;94.65;34.75
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;Jan 2023;3666;1165;all;N/A;median;1165;15;73225;22812;73.23;22.81
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;Jan 2023;21839;6227;all;N/A;median;6227;11;90873;38775;90.87;38.78
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Jan 2023;114988;35082;all;N/A;median;35082;18;87734;32558;87.73;32.56
All Providers Combined;Mitú, Mitú, Vaupes, Colombia;;Jan 2023;1;1;all;N/A;median;1;147;258552;24052;258.55;24.05
All Providers Combined;Puerto Carreño, Puerto Carreño, Vichada, Colombia;;Jan 2023;7;3;all;N/A;median;3;102;2312;2292;2.31;2.29
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;feb-23;9781;2807;all;N/A;median;2807;20;123348;30950;123.35;30.95
All Providers Combined;Leticia, Leticia, Amazonas, Colombia;;feb-23;894;110;all;N/A;median;110;210;12956;4613;12.96;4.61
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;feb-23;186545;60273;all;N/A;median;60273;10;97617;28630;97.62;28.63
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;feb-23;915;341;all;N/A;median;341;6;14595;5040;14.60;5.04
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-23;62618;19313;all;N/A;median;19313;9;93776;36255;93.78;36.26
All Providers Combined;Bogotá, Bogota, Colombia;;feb-23;789359;240190;all;N/A;median;240190;7;103242;43753;103.24;43.75
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;feb-23;21483;6191;all;N/A;median;6191;8;99761;39928;99.76;39.93
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;feb-23;11697;3650;all;N/A;median;3650;15;66255;27449;66.26;27.45
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;feb-23;21248;6446;all;N/A;median;6446;28;91825;19133;91.83;19.13
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;feb-23;2145;589;all;N/A;median;589;24;43130;31571;43.13;31.57
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;feb-23;3053;836;all;N/A;median;836;14;47243;26588;47.24;26.59
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;feb-23;13662;4226;all;N/A;median;4226;19;66001;28587;66.00;28.59
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;feb-23;10490;3474;all;N/A;median;3474;22;84276;28446;84.28;28.45
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;feb-23;679;109;all;N/A;median;109;36;7194;3060;7.19;3.06
All Providers Combined;Montería, Montería, Córdoba, Colombia;;feb-23;9578;2977;all;N/A;median;2977;15;66637;26548;66.64;26.55
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;feb-23;220;17;all;N/A;median;17;74;47591;13024;47.59;13.02
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;feb-23;528;142;all;N/A;median;142;15;10116;13731;10.12;13.73
All Providers Combined;Neiva, Neiva, Huila, Colombia;;feb-23;13484;3939;all;N/A;median;3939;18;69687;31549;69.69;31.55
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;feb-23;2614;904;all;N/A;median;904;33;66166;28411;66.17;28.41
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;feb-23;13292;4193;all;N/A;median;4193;15;73360;28958;73.36;28.96
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;feb-23;26654;7394;all;N/A;median;7394;10;103306;37409;103.31;37.41
All Providers Combined;Pasto, Pasto, Narino, Colombia;;feb-23;13568;4302;all;N/A;median;4302;21;64179;29765;64.18;29.77
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;feb-23;22136;6887;all;N/A;median;6887;24;76477;29573;76.48;29.57
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;feb-23;245;63;all;N/A;median;63;22;30525;24675;30.53;24.68
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;feb-23;22598;6783;all;N/A;median;6783;19;82857;28669;82.86;28.67
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;feb-23;1081;292;all;N/A;median;292;22;39365;34544;39.37;34.54
