Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps;Multi-Server Latency;Multi-Server Jitter,
Claro;Risaralda, Colombia;;Jan 2018;7946.0;3991.0;all;;median;2320.0;49.0;7753.0;2002.0;7.75;2.0;;
Claro;San Andrés and Providencia, Colombia;;Jan 2018;7.0;5.0;all;;median;2.0;151.0;3443.0;1894.0;3.44;1.89;;
Claro;Santander Department, Colombia;;Jan 2018;9686.0;4316.0;all;;median;2860.0;43.0;6976.0;1685.0;6.98;1.69;;
Claro;Sucre, Colombia;;Jan 2018;995.0;442.0;all;;median;282.0;28.0;5363.0;1557.0;5.36;1.56;;
Claro;Tolima, Colombia;;Jan 2018;7078.0;3790.0;all;;median;2396.0;18.0;5322.0;1329.0;5.32;1.33;;
Claro;Valle del Cauca, Colombia;;Jan 2018;65507.0;31375.0;all;;median;17621.0;61.0;6582.0;1932.0;6.58;1.93;;
ETB;Antioquia, Colombia;;Jan 2018;494.0;273.0;all;;median;181.0;31.0;4884.0;1070.0;4.88;1.07;;
ETB;Atlantico, Colombia;;Jan 2018;233.0;80.0;all;;median;43.0;85.0;3257.0;3210.0;3.26;3.21;;
ETB;Bogota, Colombia;;Jan 2018;139686.0;76677.0;all;;median;43410.0;12.0;12094.0;6675.0;12.09;6.68;;
ETB;Bolivar, Colombia;;Jan 2018;7.0;3.0;all;;median;3.0;40.0;507.0;510.0;0.51;0.51;;
ETB;Boyaca, Colombia;;Jan 2018;220.0;107.0;all;;median;77.0;22.0;8689.0;8273.0;8.69;8.27;;
ETB;Caldas, Colombia;;Jan 2018;7.0;6.0;all;;median;6.0;42.0;2039.0;1088.0;2.04;1.09;;
ETB;Casanare, Colombia;;Jan 2018;2.0;1.0;all;;median;1.0;30.0;37995.0;23353.0;38.0;23.35;;
ETB;Cesar, Colombia;;Jan 2018;23.0;14.0;all;;median;10.0;45.0;2457.0;1727.0;2.46;1.73;;
ETB;Cordoba, Colombia;;Jan 2018;116.0;43.0;all;;median;9.0;35.0;4394.0;5940.0;4.39;5.94;;
ETB;Cundinamarca, Colombia;;Jan 2018;12138.0;6850.0;all;;median;4687.0;17.0;9528.0;4892.0;9.53;4.89;;
ETB;Huila, Colombia;;Jan 2018;34.0;21.0;all;;median;11.0;32.0;3186.0;2306.0;3.19;2.31;;
ETB;La Guajira, Colombia;;Jan 2018;15.0;5.0;all;;median;5.0;44.0;1230.0;235.0;1.23;0.24;;
ETB;Magdalena, Colombia;;Jan 2018;21.0;20.0;all;;median;16.0;39.0;2992.0;2991.0;2.99;2.99;;
ETB;Meta, Colombia;;Jan 2018;2442.0;1256.0;all;;median;506.0;35.0;4066.0;958.0;4.07;0.96;;
ETB;Narino, Colombia;;Jan 2018;1.0;1.0;all;;median;1.0;96.0;27327.0;10026.0;27.33;10.03;;
ETB;Quindio, Colombia;;Jan 2018;47.0;19.0;all;;median;12.0;87.0;1894.0;2141.0;1.89;2.14;;
ETB;Risaralda, Colombia;;Jan 2018;188.0;110.0;all;;median;59.0;48.0;2916.0;2894.0;2.92;2.89;;
ETB;Santander Department, Colombia;;Jan 2018;775.0;328.0;all;;median;177.0;24.0;2992.0;995.0;2.99;1.0;;
ETB;Tolima, Colombia;;Jan 2018;75.0;49.0;all;;median;39.0;26.0;6275.0;3522.0;6.28;3.52;;
ETB;Valle del Cauca, Colombia;;Jan 2018;35.0;25.0;all;;median;11.0;55.0;2013.0;2277.0;2.01;2.28;;
Movistar;Antioquia, Colombia;;feb-18;966.0;552.0;all;;median;485.0;44.0;5053.0;838.0;5.05;0.84;;
Movistar;Atlantico, Colombia;;feb-18;1357.0;775.0;all;;median;484.0;66.0;5013.0;808.0;5.01;0.81;;
Movistar;Bogota, Colombia;;feb-18;32651.0;19516.0;all;;median;10352.0;30.0;6434.0;869.0;6.43;0.87;;
Movistar;Bolivar, Colombia;;feb-18;3711.0;2104.0;all;;median;1093.0;65.0;6238.0;853.0;6.24;0.85;;
Movistar;Boyaca, Colombia;;feb-18;3617.0;1964.0;all;;median;679.0;37.0;4270.0;882.0;4.27;0.88;;
Movistar;Caldas, Colombia;;feb-18;521.0;306.0;all;;median;146.0;36.0;4900.0;860.0;4.9;0.86;;
Movistar;Caquetá, Colombia;;feb-18;832.0;534.0;all;;median;182.0;49.0;4704.0;746.0;4.7;0.75;;
Movistar;Casanare, Colombia;;feb-18;496.0;300.0;all;;median;114.0;39.0;4476.0;789.0;4.48;0.79;;
Movistar;Cauca Department, Colombia;;feb-18;1924.0;1166.0;all;;median;710.0;44.0;5175.0;801.0;5.18;0.8;;
Movistar;Cesar, Colombia;;feb-18;1384.0;959.0;all;;median;260.0;65.0;5439.0;855.0;5.44;0.86;;
Movistar;Choco, Colombia;;feb-18;968.0;626.0;all;;median;165.0;52.0;4571.0;824.0;4.57;0.82;;
Movistar;Cordoba, Colombia;;feb-18;2070.0;1319.0;all;;median;618.0;60.0;5113.0;782.0;5.11;0.78;;
Movistar;Cundinamarca, Colombia;;feb-18;26665.0;15732.0;all;;median;9861.0;33.0;5280.0;802.0;5.28;0.8;;
Movistar;Huila, Colombia;;feb-18;3979.0;2097.0;all;;median;781.0;43.0;4866.0;885.0;4.87;0.89;;
Movistar;La Guajira, Colombia;;feb-18;957.0;544.0;all;;median;148.0;72.0;4488.0;835.0;4.49;0.84;;
Movistar;Magdalena, Colombia;;feb-18;2381.0;1453.0;all;;median;929.0;68.0;5068.0;786.0;5.07;0.79;;
Movistar;Meta, Colombia;;feb-18;2838.0;1816.0;all;;median;533.0;30.0;5251.0;952.0;5.25;0.95;;
Movistar;Narino, Colombia;;feb-18;1776.0;1058.0;all;;median;374.0;48.0;4884.0;861.0;4.88;0.86;;
Movistar;North Santander, Colombia;;feb-18;1.0;1.0;all;;median;1.0;61.0;2202.0;541.0;2.2;0.54;;
Movistar;Putumayo, Colombia;;feb-18;458.0;265.0;all;;median;70.0;50.0;5247.0;924.0;5.25;0.92;;
Movistar;Quindio, Colombia;;feb-18;2135.0;1394.0;all;;median;337.0;42.0;5071.0;897.0;5.07;0.9;;
Movistar;Risaralda, Colombia;;feb-18;198.0;139.0;all;;median;62.0;42.0;4044.0;822.0;4.04;0.82;;
Movistar;San Andrés and Providencia, Colombia;;feb-18;37.0;18.0;all;;median;14.0;179.0;596.0;448.0;0.6;0.45;;
Movistar;Santander Department, Colombia;;feb-18;2607.0;1696.0;all;;median;619.0;40.0;5102.0;878.0;5.1;0.88;;
Movistar;Sucre, Colombia;;feb-18;1137.0;619.0;all;;median;470.0;75.0;4454.0;716.0;4.45;0.72;;
Movistar;Tolima, Colombia;;feb-18;9135.0;5569.0;all;;median;2790.0;35.0;4807.0;821.0;4.81;0.82;;
Movistar;Valle del Cauca, Colombia;;feb-18;23314.0;13953.0;all;;median;7330.0;43.0;5808.0;841.0;5.81;0.84;;
Movistar;Guaviare, Colombia;;feb-18;3.0;2.0;all;;median;1.0;10.0;4416.0;5147.0;4.42;5.15;;
Claro;Antioquia, Colombia;;feb-18;62850.0;28712.0;all;;median;16721.0;42.0;9488.0;2147.0;9.49;2.15;;
Claro;Atlantico, Colombia;;feb-18;14100.0;7427.0;all;;median;4284.0;17.0;10118.0;2243.0;10.12;2.24;;
Claro;Bogota, Colombia;;feb-18;317189.0;134940.0;all;;median;73490.0;18.0;8538.0;2098.0;8.54;2.1;;
Claro;Bolivar, Colombia;;feb-18;3318.0;1706.0;all;;median;1102.0;15.0;9591.0;2147.0;9.59;2.15;;
Claro;Boyaca, Colombia;;feb-18;6808.0;3233.0;all;;median;1951.0;21.0;5258.0;1265.0;5.26;1.27;;
Claro;Caldas, Colombia;;feb-18;6253.0;2996.0;all;;median;1660.0;42.0;6334.0;1871.0;6.33;1.87;;
Claro;Caquetá, Colombia;;feb-18;936.0;408.0;all;;median;168.0;32.0;5215.0;1850.0;5.22;1.85;;
Claro;Casanare, Colombia;;feb-18;2218.0;1227.0;all;;median;814.0;21.0;6094.0;1930.0;6.09;1.93;;
Claro;Cauca Department, Colombia;;feb-18;8326.0;3513.0;all;;median;1801.0;63.0;5271.0;1548.0;5.27;1.55;;
