Country;Date;Download_speed;Upload_speed;Latency
germany;2023-03-01;83.2;28.96;13.0
germany;2023-04-01;83.94;29.07;13.0
germany;2023-05-01;83.44;29.38;13.0
germany;2023-06-01;84.18;29.75;13.0
germany;2023-07-01;85.86;30.48;13.0
germany;2023-08-01;85.0;30.81;13.0
germany;2023-09-01;87.03;31.31;13.0
germany;2023-10-01;87.94;31.21;13.0
germany;2023-11-01;89.93;31.82;13.0
germany;2023-12-01;89.85;31.87;13.0
germany;2024-01-01;92.79;32.96;12.0
germany;2024-02-01;91.96;32.74;12.0
germany;2024-03-01;91.73;32.68;13.0
uruguay;2023-03-01;118.06;32.0;5.0
uruguay;2023-04-01;113.48;31.97;6.0
uruguay;2023-05-01;118.11;32.01;6.0
uruguay;2023-06-01;141.69;32.71;5.0
uruguay;2023-07-01;147.03;32.85;5.0
uruguay;2023-08-01;144.28;33.3;5.0
uruguay;2023-09-01;143.34;32.86;5.0
uruguay;2023-10-01;143.06;33.68;5.0
uruguay;2023-11-01;139.13;33.41;5.0
uruguay;2023-12-01;121.78;32.67;6.0
uruguay;2024-01-01;134.43;32.59;6.0
uruguay;2024-02-01;142.83;32.78;6.0
uruguay;2024-03-01;134.24;32.71;6.0
brazil;2023-03-01;106.06;78.21;6.0
brazil;2023-04-01;106.7;79.82;6.0
brazil;2023-05-01;111.04;81.97;6.0
brazil;2023-06-01;117.36;84.18;5.0
brazil;2023-07-01;121.53;85.67;5.0
brazil;2023-08-01;126.42;86.59;5.0
brazil;2023-09-01;131.45;88.89;5.0
brazil;2023-10-01;136.52;90.66;5.0
brazil;2023-11-01;139.97;92.44;5.0
brazil;2023-12-01;145.8;93.01;5.0
brazil;2024-01-01;151.0;93.33;5.0
brazil;2024-02-01;154.56;93.63;5.0
brazil;2024-03-01;158.57;93.59;5.0
south-korea;2023-03-01;123.53;98.35;7.0
south-korea;2023-04-01;114.73;93.85;8.0
south-korea;2023-05-01;124.56;91.05;6.0
south-korea;2023-06-01;125.21;93.73;7.0
south-korea;2023-07-01;133.38;93.82;7.0
