Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Movistar;Colombia;;oct-18;186874;115456;all;N/A;median;48979;37;5358;870;5.36;0.87
Claro;Colombia;;oct-18;674666;348027;all;N/A;median;174030;30;10768;2547;10.77;2.55
Tigo;Colombia;;oct-18;281497;149059;all;N/A;median;72823;16;9674;2087;9.67;2.09
All Providers Combined;Colombia;;nov-18;1349878;729709;all;N/A;median;331558;26;10202;2208;10.20;2.21
ETB;Colombia;;nov-18;137074;77769;all;N/A;median;41328;7;13442;9109;13.44;9.11
Movistar;Colombia;;nov-18;176848;109000;all;N/A;median;45061;37;5473;891;5.47;0.89
Claro;Colombia;;nov-18;582592;305598;all;N/A;median;154011;29;10781;2605;10.78;2.61
Tigo;Colombia;;nov-18;260209;137885;all;N/A;median;66776;17;9685;2088;9.69;2.09
All Providers Combined;Colombia;;Dec 2018;1146359;631741;all;N/A;median;287861;27;10199;2220;10.20;2.22
ETB;Colombia;;Dec 2018;110567;64074;all;N/A;median;33659;8;12797;8357;12.80;8.36
Movistar;Colombia;;Dec 2018;157787;99317;all;N/A;median;41906;37;5508;898;5.51;0.90
Claro;Colombia;;Dec 2018;488093;259766;all;N/A;median;131798;30;10775;2663;10.78;2.66
Tigo;Colombia;;Dec 2018;224303;121326;all;N/A;median;59946;17;9750;2101;9.75;2.10
All Providers Combined;Colombia;;Jan 2019;1612548;872451;all;N/A;median;398344;29;10260;2235;10.26;2.24
ETB;Colombia;;Jan 2019;157286;87467;all;N/A;median;46652;8;13618;9000;13.62;9.00
Movistar;Colombia;;Jan 2019;236356;148144;all;N/A;median;58852;40;5579;896;5.58;0.90
Claro;Colombia;;Jan 2019;675682;350947;all;N/A;median;179561;30;10785;2652;10.79;2.65
Tigo;Colombia;;Jan 2019;380351;202711;all;N/A;median;97763;18;10163;2158;10.16;2.16
All Providers Combined;Colombia;;feb-19;1588164;861576;all;N/A;median;402589;27;10480;2349;10.48;2.35
ETB;Colombia;;feb-19;189749;103346;all;N/A;median;53207;7;17420;12356;17.42;12.36
Movistar;Colombia;;feb-19;217644;137161;all;N/A;median;56473;39;6265;922;6.27;0.92
Claro;Colombia;;feb-19;667909;346930;all;N/A;median;179865;30;10832;2786;10.83;2.79
Tigo;Colombia;;feb-19;349614;191098;all;N/A;median;95029;17;10335;2255;10.34;2.26
All Providers Combined;Colombia;;mar-19;1566226;865386;all;N/A;median;397435;28;10432;2363;10.43;2.36
ETB;Colombia;;mar-19;170198;95032;all;N/A;median;50756;7;15087;9564;15.09;9.56
Movistar;Colombia;;mar-19;236173;149106;all;N/A;median;60352;37;6336;933;6.34;0.93
Claro;Colombia;;mar-19;653929;346195;all;N/A;median;176852;34;10839;2853;10.84;2.85
Tigo;Colombia;;mar-19;332928;186775;all;N/A;median;91033;17;10328;2302;10.33;2.30
All Providers Combined;Colombia;;Apr 2019;1532020;838705;all;N/A;median;386845;30;10461;2419;10.46;2.42
ETB;Colombia;;Apr 2019;144930;82592;all;N/A;median;45154;7;15124;10286;15.12;10.29
Movistar;Colombia;;Apr 2019;225109;140353;all;N/A;median;57856;37;6480;934;6.48;0.93
Claro;Colombia;;Apr 2019;642227;338119;all;N/A;median;172090;35;11038;3105;11.04;3.11
