server_id,server_name,server_country,server_country_code,latitude,longitude,server_url,sponsor_name,sponsor_url,status,functional,host_functional,created_date,host,host_version,host_ip,is_public,https_enabled,https_functional,ipv6_functional
11694,Bogotá,Colombia,CO,4.5981,-74.0758,http://etb-medidor.etb.net.co:8080/speedtest/upload.php,ETB,https://etb.com/,1,TRUE,TRUE,3/24/17 16:24,etb-medidor.etb.net.co:8080,2.11.0,200.69.125.18,1,1,1,0
12986,Cali,Colombia,CO,3.4206,-76.5222,http://speedtest4.emcali.net.co:8080/speedtest/upload.php,Emcali,https://www.emcali.com.co/,1,TRUE,TRUE,6/26/17 22:26,speedtest4.emcali.net.co:8080,2.9.2,200.29.104.39,1,1,1,0
14393,Bogotá,Colombia,CO,4.711,-74.0721,http://speedtest.directv.com.co:8080/speedtest/upload.php,DIRECTV INTERNET,https://www.directv.com.co/,1,TRUE,TRUE,9/15/17 15:48,speedtest.directv.com.co:8080,2.11.0,191.102.232.99,1,1,1,1
15017,Medellín,Colombia,CO,6.2459,-75.5746,http://speedtestmed1.tigo.com.co:8080/speedtest/upload.php,Tigo,https://www.tigo.com.co/,1,TRUE,TRUE,10/26/17 20:32,speedtestmed1.tigo.com.co:8080,2.11.0,200.13.249.233,1,1,1,0
15018,Bogotá,Colombia,CO,4.5981,-74.0758,http://speedtestbog1.tigo.com.co:8080/speedtest/upload.php,Tigo,https://www.tigo.com.co/,1,TRUE,TRUE,10/26/17 20:34,speedtestbog1.tigo.com.co:8080,2.11.0,200.24.58.11,1,1,1,0
15019,Barranquilla,Colombia,CO,10.9827,-74.8302,http://speedtestbaq1.tigo.com.co/speedtest/upload.php,Tigo,https://www.tigo.com.co/,1,TRUE,TRUE,10/26/17 20:36,speedtestbaq1.tigo.com.co:8080,2.11.0,181.70.124.111,1,1,1,0
17577,Barranquilla,Colombia,CO,10.9827,-74.8302,https://testdevelocidad.movistar.com.co:8080/speedtest/upload.php,Movistar,https://www.movistar.com.co/,1,TRUE,TRUE,4/24/18 19:46,testdevelocidad.movistar.com.co:8080,2.11.0,152.204.128.194,1,1,1,0
19537,Bogotá,Colombia,CO,4.5981,-74.0758,http://speedtest-ifx-co.ifxcorp.com:8080/speedtest/upload.php,IFX NETWORKS,https://ifxnetworks.com/,1,TRUE,TRUE,8/10/18 14:45,speedtest-ifx-co.ifxcorp.com:8080,2.11.1,200.91.193.137,1,1,1,0
26699,Choachi,Colombia,CO,4.5287,-73.923,http://speedtest.ticcol.com:8080/speedtest/upload.php,TICCOL,https://ticcol.com/,1,TRUE,TRUE,8/14/19 13:38,speedtest.ticcol.com:8080,2.11.0,190.217.20.100,1,1,1,1
27087,Pasto,Colombia,CO,1.2059,-77.2858,https://speedtest.sistemaspalacios.com.co:8080/speedtest/upload.php,Sistemas Palacios,https://www.sistemaspalacios.com/,1,TRUE,TRUE,8/29/19 20:39,speedtest.sistemaspalacios.com.co:8080,2.11.0,201.182.251.238,1,1,1,1
28804,Bogotá,Colombia,CO,4.5981,-74.0758,https://speedtest.cablemas.co:8080/speedtest/upload.php,CableMás Colombia,http://cablemas.co/,1,TRUE,TRUE,11/6/19 19:53,speedtest.cablemas.co:8080,2.11.0,170.78.43.34,1,1,0,1
29638,Bogotá,Colombia,CO,4.5981,-74.0758,https://spt-bog1.edgeuno.com:8080/speedtest/upload.php,EdgeUno,https://edgeuno.com/,1,TRUE,TRUE,12/14/19 18:00,spt-bog1.edgeuno.com:8080,2.11.0,200.25.0.229,1,1,1,1
37409,Medellín,Colombia,CO,6.2476,-75.5658,http://speedtestb.directv.com.co:8080/speedtest/upload.php,DIRECTV INTERNET,https://www.directv.com.co/,1,TRUE,TRUE,10/29/20 18:11,speedtestb.directv.com.co:8080,2.11.0,191.102.232.100,1,1,1,0
37506,Guamal Magdalena,Colombia,CO,9.25,-74.167,https://speedtest.cablenetdelsur.com.co:8080/speedtest/upload.php,CableNet del Sur,http://cablenetdelsur.com.co/,1,TRUE,TRUE,11/2/20 22:44,speedtest.cablenetdelsur.com.co:8080,2.11.0,181.78.13.206,1,1,0,1
37957,Plato Magdalena,Colombia,CO,9.7913,-74.7975,http://speedtest.inttercom.net.co:8080/speedtest/upload.php,INTTERCOM - INTERNET Y TELECOMUNICACIONES DE COLOMBIA SAS,http://www.inttercom.net.co,1,TRUE,TRUE,11/22/20 22:55,speedtest.inttercom.net.co:8080,2.11.1,45.189.235.134,1,1,1,0
38769,Ipiales,Colombia,CO,0.83,-77.6416,http://speedtest.surconexion.com:8080/speedtest/upload.php,SurConexion,http://surconexion.com,1,TRUE,TRUE,12/26/20 17:08,speedtest.surconexion.com:8080,2.11.0,179.1.77.149,1,1,1,0
39491,San Gil,Colombia,CO,6.5548,-73.1341,http://speedtest.ateneatelecomunicaciones.vip:8080/speedtest/upload.php,Atenea Telecomunicaciones S.A.S,https://www.ateneatelecomunicaciones.com/,1,TRUE,TRUE,1/29/21 0:35,speedtest.ateneatelecomunicaciones.vip:8080,2.11.0,45.173.12.251,1,1,1,0
39714,Valledupar,Colombia,CO,10.4742,-73.2436,http://test.isp-intercol.com:8080/speedtest/upload.php,INTERCOL WISP S.A.S,https://isp-intercol.com/,1,TRUE,TRUE,2/5/21 20:15,test.isp-intercol.com:8080,2.11.0,204.157.232.254,1,1,1,0
41133,Bogotá,Colombia,CO,4.5981,-74.0758,https://lg-bg.fdcservers.net:8080/speedtest/upload.php,fdcservers.net,https://www.fdcservers.net/,1,TRUE,TRUE,4/3/21 2:24,lg-bg.fdcservers.net:8080,2.11.0,66.90.67.4,1,1,1,0
41339,Medellín,Colombia,CO,6.2459,-75.5746,http://speedtest.conexcol.net:8080/speedtest/upload.php,Conexcol Cloud Colombia,https://conexcol.net.co,1,TRUE,TRUE,4/12/21 15:16,speedtest.conexcol.net:8080,2.11.0,179.50.79.4,1,1,1,0
41670,Yumbo,Colombia,CO,3.5453,-76.495,https://speedtest.celsia.com:8080/speedtest/upload.php,Celsia S.A. E.S.P.,https://www.celsia.com/,1,TRUE,TRUE,4/27/21 8:32,speedtest.celsia.com:8080,2.11.0,190.108.77.202,1,1,1,1
43319,Barrancas,Colombia,CO,10.9556,-72.7955,http://speedtest.worldconnections.co:8080/speedtest/upload.php,WORLD CONNECTIONS SAS,https://worldconnections.com.co/,1,TRUE,TRUE,7/10/21 0:08,speedtest.worldconnections.co:8080,2.11.0,45.187.48.254,1,1,1,0
44078,Arauca,Colombia,CO,6.7801,-70.7168,http://speedtest.wicomsas.co:8080/speedtest/upload.php,WICOM SAS,https://wicomsas.co/,1,TRUE,TRUE,8/11/21 4:24,speedtest.wicomsas.co:8080,2.11.0,201.49.128.2,1,1,1,1
44095,Bogotá,Colombia,CO,4.5981,-74.0758,http://speedtestbog01.claro.net.co:8080/speedtest/upload.php,Claro Colombia,https://www.claro.com.co,1,TRUE,TRUE,8/11/21 18:07,speedtestbog01.claro.net.co:8080,2.11.0,181.48.254.78,1,1,1,0
