Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Movistar;Cali, Cali, Valle del Cauca, Colombia;;feb-22;38359;12138;all;N/A;median;12138;19;24.515;88.291;126234;112146;126.23;112.15
Movistar;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-22;21620;7308;all;N/A;median;7308;36;478.889;113.289;103118;93274;103.12;93.27
Movistar;Medellín, Medellin, Antioquia, Colombia;;feb-22;25636;7438;all;N/A;median;7438;13;393.375;7.775;177006;172570;177.01;172.57
Claro;Bogotá, Bogota, Colombia;;feb-22;374859;118168;all;N/A;median;118168;11;19.9;8.525;73425;21072;73.43;21.07
Claro;Cali, Cali, Valle del Cauca, Colombia;;feb-22;57845;17681;all;N/A;median;17681;18;344.439;102.083;66342;21333;66.34;21.33
Claro;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-22;24454;6806;all;N/A;median;6806;13;52.15;90.125;69367;21844;69.37;21.84
Claro;Medellín, Medellin, Antioquia, Colombia;;feb-22;63313;20758;all;N/A;median;20758;11;33.25;88.225;67259;21916;67.26;21.92
Tigo;Bogotá, Bogota, Colombia;;feb-22;58632;19687;all;N/A;median;19687;10;178.167;71.625;63048;11364;63.05;11.36
Tigo;Cali, Cali, Valle del Cauca, Colombia;;feb-22;26306;7848;all;N/A;median;7848;16;326.667;102.062;43109;10439;43.11;10.44
Tigo;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-22;15593;4814;all;N/A;median;4814;10;516.037;103.125;62086;11028;62.09;11.03
Tigo;Medellín, Medellin, Antioquia, Colombia;;feb-22;132805;43767;all;N/A;median;43767;9;320.208;9.35;63013;12614;63.01;12.61
DIRECTV;Bogotá, Bogota, Colombia;;feb-22;6748;2315;all;N/A;median;2315;27;550.944;275.208;10233;3849;10.23;3.85
DIRECTV;Cali, Cali, Valle del Cauca, Colombia;;feb-22;1962;708;all;N/A;median;708;28;704.083;35.875;11999;3848;12.00;3.85
DIRECTV;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-22;6424;1888;all;N/A;median;1888;53;101.505;485.229;7634;3099;7.63;3.10
DIRECTV;Medellín, Medellin, Antioquia, Colombia;;feb-22;9276;2991;all;N/A;median;2991;30;70.875;36.395;10875;3461;10.88;3.46
ETB;Bogotá, Bogota, Colombia;;feb-22;304210;94923;all;N/A;median;94923;4;100.333;49.687;90447;89937;90.45;89.94
ETB;Cali, Cali, Valle del Cauca, Colombia;;feb-22;637;53;all;N/A;median;53;27;505.166;451.229;20848;29371;20.85;29.37
ETB;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-22;418;228;all;N/A;median;228;21;396.807;115.125;24622;31739;24.62;31.74
ETB;Medellín, Medellin, Antioquia, Colombia;;feb-22;996;493;all;N/A;median;493;5;17.7;69.437;47476;50135;47.48;50.14
EMCALI;Cali, Cali, Valle del Cauca, Colombia;;feb-22;11042;3843;all;N/A;median;3843;18;590.416;19.825;14461;11223;14.46;11.22
EMCALI;Medellín, Medellin, Antioquia, Colombia;;feb-22;1;1;all;N/A;median;1;3;170.667;1.025;86378;95611;86.38;95.61
All Providers Combined;Bogotá, Bogota, Colombia;;mar-22;953680;282485;all;N/A;median;282485;8;163.333;68.846;87395;30238;87.40;30.24
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;mar-22;150653;43035;all;N/A;median;43035;18;33.2;10.4;66282;22046;66.28;22.05
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-22;66771;21059;all;N/A;median;21059;15;525.167;114.208;62341;21621;62.34;21.62
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;mar-22;259312;79206;all;N/A;median;79206;11;341.167;100.583;66154;19246;66.15;19.25
Movistar;Bogotá, Bogota, Colombia;;mar-22;103855;31461;all;N/A;median;31461;6;10.4;5.25;154528;139324;154.53;139.32
Movistar;Cali, Cali, Valle del Cauca, Colombia;;mar-22;37501;11876;all;N/A;median;11876;18;244.725;78.083;139041;124336;139.04;124.34
Movistar;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-22;21949;7499;all;N/A;median;7499;36;48.452;117.583;94781;91188;94.78;91.19
Movistar;Medellín, Medellin, Antioquia, Colombia;;mar-22;25665;7753;all;N/A;median;7753;13;39.3;81.375;177291;169558;177.29;169.56
Claro;Bogotá, Bogota, Colombia;;mar-22;399293;122645;all;N/A;median;122645;11;194.333;82.437;78896;21810;78.90;21.81
Claro;Cali, Cali, Valle del Cauca, Colombia;;mar-22;62919;17852;all;N/A;median;17852;18;342.805;102.229;67919;21758;67.92;21.76
Claro;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-22;21527;6545;all;N/A;median;6545;13;518.792;85.375;75733;22690;75.73;22.69
Claro;Medellín, Medellin, Antioquia, Colombia;;mar-22;69711;21697;all;N/A;median;21697;11;33.35;91.959;67201;22229;67.20;22.23
Tigo;Bogotá, Bogota, Colombia;;mar-22;70193;21839;all;N/A;median;21839;10;183.333;7.377;64118;11482;64.12;11.48
Tigo;Cali, Cali, Valle del Cauca, Colombia;;mar-22;29550;8540;all;N/A;median;8540;16;32.05;10.75;48818;10499;48.82;10.50
Tigo;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-22;14408;4988;all;N/A;median;4988;10;515.666;9.45;61992;11259;61.99;11.26
Tigo;Medellín, Medellin, Antioquia, Colombia;;mar-22;142349;45608;all;N/A;median;45608;9;310.333;96.583;65516;13528;65.52;13.53
DIRECTV;Bogotá, Bogota, Colombia;;mar-22;6321;2196;all;N/A;median;2196;26;506.697;21.925;11388;3963;11.39;3.96
DIRECTV;Cali, Cali, Valle del Cauca, Colombia;;mar-22;2301;828;all;N/A;median;828;29;69.75;310.375;11052;3398;11.05;3.40
DIRECTV;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-22;5515;1691;all;N/A;median;1691;39;910.667;395.383;8048;3088;8.05;3.09
DIRECTV;Medellín, Medellin, Antioquia, Colombia;;mar-22;9504;3019;all;N/A;median;3019;30;751.416;364.395;11362;3269;11.36;3.27
ETB;Bogotá, Bogota, Colombia;;mar-22;349006;106377;all;N/A;median;106377;4;92.667;46.537;93261;94102;93.26;94.10
ETB;Cali, Cali, Valle del Cauca, Colombia;;mar-22;516;48;all;N/A;median;48;14;276.817;165.375;18664;23096;18.66;23.10
ETB;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-22;347;180;all;N/A;median;180;19;409.583;131.312;16224;8711;16.22;8.71
ETB;Medellín, Medellin, Antioquia, Colombia;;mar-22;2080;856;all;N/A;median;856;4;148.791;64.843;78661;70583;78.66;70.58
EMCALI;Cali, Cali, Valle del Cauca, Colombia;;mar-22;13075;4169;all;N/A;median;4169;16;524.666;171.654;21479;16878;21.48;16.88
All Providers Combined;Bogotá, Bogota, Colombia;;Apr 2022;942982;283307;all;N/A;median;283307;8;162.916;7.05;89360;31077;89.36;31.08
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Apr 2022;148169;41789;all;N/A;median;41789;19;331.729;101.125;70590;21749;70.59;21.75
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2022;71466;21660;all;N/A;median;21660;18;563.333;13.6;61743;21902;61.74;21.90
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Apr 2022;256977;80028;all;N/A;median;80028;11;35.5;10.6;70015;20421;70.02;20.42
Movistar;Bogotá, Bogota, Colombia;;Apr 2022;102007;30331;all;N/A;median;30331;6;109.333;5.75;155901;136097;155.90;136.10
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Apr 2022;34135;11121;all;N/A;median;11121;19;244.489;78.167;140661;119069;140.66;119.07
Movistar;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2022;22429;7492;all;N/A;median;7492;36;505.028;124.541;102316;94341;102.32;94.34
Movistar;Medellín, Medellin, Antioquia, Colombia;;Apr 2022;35259;9493;all;N/A;median;9493;15;402.333;103.937;209217;201375;209.22;201.38
Claro;Bogotá, Bogota, Colombia;;Apr 2022;398499;126457;all;N/A;median;126457;10;18.825;79.083;84222;23974;84.22;23.97
Claro;Cali, Cali, Valle del Cauca, Colombia;;Apr 2022;64686;17754;all;N/A;median;17754;21;339.962;98.625;72495;21280;72.50;21.28
Claro;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2022;22522;6401;all;N/A;median;6401;14;54.625;9.775;71509;26672;71.51;26.67
Claro;Medellín, Medellin, Antioquia, Colombia;;Apr 2022;65241;21101;all;N/A;median;21101;11;345.506;9.15;70848;25766;70.85;25.77
Tigo;Bogotá, Bogota, Colombia;;Apr 2022;84460;25551;all;N/A;median;25551;10;187.333;76.171;62841;11141;62.84;11.14
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Apr 2022;30627;8504;all;N/A;median;8504;16;304.167;97.192;55593;10979;55.59;10.98
Tigo;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2022;17993;5901;all;N/A;median;5901;11;582.167;137.958;59908;10606;59.91;10.61
Tigo;Medellín, Medellin, Antioquia, Colombia;;Apr 2022;139145;45958;all;N/A;median;45958;10;326.549;101.417;64769;13218;64.77;13.22
DIRECTV;Bogotá, Bogota, Colombia;;Apr 2022;5755;1994;all;N/A;median;1994;26;530.869;275.375;9999;4073;10.00;4.07
DIRECTV;Cali, Cali, Valle del Cauca, Colombia;;Apr 2022;2097;832;all;N/A;median;832;29;78.15;35.95;9660;3494;9.66;3.49
DIRECTV;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2022;5103;1589;all;N/A;median;1589;47;104.6;437.472;7366;2854;7.37;2.85
DIRECTV;Medellín, Medellin, Antioquia, Colombia;;Apr 2022;7619;2810;all;N/A;median;2810;30;780.833;391.104;10196;3206;10.20;3.21
ETB;Bogotá, Bogota, Colombia;;Apr 2022;327028;100604;all;N/A;median;100604;4;93.167;5.075;94242;94390;94.24;94.39
ETB;Cali, Cali, Valle del Cauca, Colombia;;Apr 2022;179;31;all;N/A;median;31;11;23.5;8.5;41502;41865;41.50;41.87
ETB;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2022;642;240;all;N/A;median;240;21;484.333;271.958;6666;5237;6.67;5.24
ETB;Medellín, Medellin, Antioquia, Colombia;;Apr 2022;1507;672;all;N/A;median;672;4;144.833;66.641;91143;89929;91.14;89.93
EMCALI;Cali, Cali, Valle del Cauca, Colombia;;Apr 2022;11942;3910;all;N/A;median;3910;16;546.063;185.574;20660;16140;20.66;16.14
EMCALI;Medellín, Medellin, Antioquia, Colombia;;Apr 2022;3;2;all;N/A;median;2;18;464.622;94.783;196319;193552;196.32;193.55
All Providers Combined;Bogotá, Bogota, Colombia;;may-22;851729;257615;all;N/A;median;257615;8;161.833;6.95;90930;32008;90.93;32.01
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;may-22;154680;41511;all;N/A;median;41511;20;346.961;115.917;67456;20731;67.46;20.73
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;may-22;66709;19873;all;N/A;median;19873;15;53.571;111.625;68585;25876;68.59;25.88
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;may-22;256030;77432;all;N/A;median;77432;11;336.828;10.2;74112;21840;74.11;21.84
Movistar;Bogotá, Bogota, Colombia;;may-22;109936;32156;all;N/A;median;32156;6;111.385;6.225;155075;133211;155.08;133.21
Movistar;Cali, Cali, Valle del Cauca, Colombia;;may-22;36499;11164;all;N/A;median;11164;18;247.778;86.611;140702;94574;140.70;94.57
Movistar;Barranquilla, Barranquilla, Atlantico, Colombia;;may-22;22966;7303;all;N/A;median;7303;36;490.069;102.889;112450;94747;112.45;94.75
Movistar;Medellín, Medellin, Antioquia, Colombia;;may-22;36741;9611;all;N/A;median;9611;16;378.641;83.458;201202;198265;201.20;198.27
Claro;Bogotá, Bogota, Colombia;;may-22;364632;114201;all;N/A;median;114201;11;188.089;80.541;84886;28238;84.89;28.24
Claro;Cali, Cali, Valle del Cauca, Colombia;;may-22;57223;16083;all;N/A;median;16083;23;344.838;103.875;73252;20565;73.25;20.57
Claro;Barranquilla, Barranquilla, Atlantico, Colombia;;may-22;20682;6050;all;N/A;median;6050;13;538.194;87.375;80486;29203;80.49;29.20
Claro;Medellín, Medellin, Antioquia, Colombia;;may-22;62396;20492;all;N/A;median;20492;10;329.444;94.333;71260;28285;71.26;28.29
Tigo;Bogotá, Bogota, Colombia;;may-22;61728;19527;all;N/A;median;19527;10;181.167;7.9;63157;11572;63.16;11.57
Tigo;Cali, Cali, Valle del Cauca, Colombia;;may-22;41063;9535;all;N/A;median;9535;18;380.333;15.031;47759;12381;47.76;12.38
Tigo;Barranquilla, Barranquilla, Atlantico, Colombia;;may-22;15349;5064;all;N/A;median;5064;10;540.144;10.625;61118;11362;61.12;11.36
Tigo;Medellín, Medellin, Antioquia, Colombia;;may-22;141199;44883;all;N/A;median;44883;9;318.222;100.875;69092;14916;69.09;14.92
DIRECTV;Bogotá, Bogota, Colombia;;may-22;7842;2501;all;N/A;median;2501;27;519.333;25.175;10949;3928;10.95;3.93
DIRECTV;Cali, Cali, Valle del Cauca, Colombia;;may-22;2954;1083;all;N/A;median;1083;29;797.778;330.472;10656;3616;10.66;3.62
DIRECTV;Barranquilla, Barranquilla, Atlantico, Colombia;;may-22;4336;1230;all;N/A;median;1230;52;975.003;383.594;6689;2843;6.69;2.84
DIRECTV;Medellín, Medellin, Antioquia, Colombia;;may-22;4705;1773;all;N/A;median;1773;29;67.05;316.125;11638;3420;11.64;3.42
ETB;Bogotá, Bogota, Colombia;;may-22;283744;90730;all;N/A;median;90730;4;89.583;44.125;94485;94601;94.49;94.60
ETB;Cali, Cali, Valle del Cauca, Colombia;;may-22;18;12;all;N/A;median;12;12;258.642;30.155;35510;63452;35.51;63.45
ETB;Barranquilla, Barranquilla, Atlantico, Colombia;;may-22;497;193;all;N/A;median;193;20;47.175;229.588;11030;9267;11.03;9.27
ETB;Medellín, Medellin, Antioquia, Colombia;;may-22;1744;715;all;N/A;median;715;10;219.937;91.375;31621;26698;31.62;26.70
EMCALI;Cali, Cali, Valle del Cauca, Colombia;;may-22;12363;4203;all;N/A;median;4203;14;538.833;150.462;26252;20595;26.25;20.60
All Providers Combined;Bogotá, Bogota, Colombia;;jun-22;772934;236580;all;N/A;median;236580;8;158.642;66.312;91887;32524;91.89;32.52
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jun-22;117744;35223;all;N/A;median;35223;18;32.218;9.675;75070;28867;75.07;28.87
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-22;61536;18770;all;N/A;median;18770;15;512.889;100.435;80523;29097;80.52;29.10
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jun-22;220385;69545;all;N/A;median;69545;11;279.667;83.833;76748;22365;76.75;22.37
Movistar;Bogotá, Bogota, Colombia;;jun-22;95686;30768;all;N/A;median;30768;6;11.15;57.791;149809;133825;149.81;133.83
Movistar;Cali, Cali, Valle del Cauca, Colombia;;jun-22;29579;10057;all;N/A;median;10057;19;232.556;73.019;141274;128123;141.27;128.12
Movistar;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-22;23849;7745;all;N/A;median;7745;35;470.045;8.925;122506;101245;122.51;101.25
Movistar;Medellín, Medellin, Antioquia, Colombia;;jun-22;29187;8729;all;N/A;median;8729;16;350.667;62.656;204175;198249;204.18;198.25
Claro;Bogotá, Bogota, Colombia;;jun-22;314822;98575;all;N/A;median;98575;11;186.255;8.05;88008;29975;88.01;29.98
Claro;Cali, Cali, Valle del Cauca, Colombia;;jun-22;48228;14836;all;N/A;median;14836;19;333.569;9.375;78483;28766;78.48;28.77
Claro;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-22;20214;5805;all;N/A;median;5805;13;53.552;90.814;72615;29710;72.62;29.71
Claro;Medellín, Medellin, Antioquia, Colombia;;jun-22;53344;18133;all;N/A;median;18133;10;302.667;88.604;73332;29746;73.33;29.75
Tigo;Bogotá, Bogota, Colombia;;jun-22;66115;20238;all;N/A;median;20238;10;171.167;7.8;62370;12409;62.37;12.41
Tigo;Cali, Cali, Valle del Cauca, Colombia;;jun-22;23894;6422;all;N/A;median;6422;15;30.2;99.625;52877;11154;52.88;11.15
Tigo;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-22;13551;4662;all;N/A;median;4662;10;524.708;105.625;66594;11871;66.59;11.87
Tigo;Medellín, Medellin, Antioquia, Colombia;;jun-22;123077;40301;all;N/A;median;40301;9;24.4;77.895;74549;15254;74.55;15.25
DIRECTV;Bogotá, Bogota, Colombia;;jun-22;6782;2461;all;N/A;median;2461;28;504.827;252.412;9912;3681;9.91;3.68
DIRECTV;Cali, Cali, Valle del Cauca, Colombia;;jun-22;2395;958;all;N/A;median;958;33;69.35;324.718;9099;3387;9.10;3.39
DIRECTV;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-22;1694;441;all;N/A;median;441;37;840.732;272.812;7304;2815;7.30;2.82
DIRECTV;Medellín, Medellin, Antioquia, Colombia;;jun-22;4433;1595;all;N/A;median;1595;29;58.55;269.843;10176;3342;10.18;3.34
ETB;Bogotá, Bogota, Colombia;;jun-22;266249;85367;all;N/A;median;85367;4;8.6;3.95;94594;94646;94.59;94.65
ETB;Cali, Cali, Valle del Cauca, Colombia;;jun-22;36;21;all;N/A;median;21;12;388.699;85.291;67478;30487;67.48;30.49
ETB;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-22;176;76;all;N/A;median;76;20;432.655;140.401;11948;9408;11.95;9.41
ETB;Medellín, Medellin, Antioquia, Colombia;;jun-22;1801;630;all;N/A;median;630;7;177.667;8.125;32901;28692;32.90;28.69
EMCALI;Cali, Cali, Valle del Cauca, Colombia;;jun-22;9411;3316;all;N/A;median;3316;15;49.25;159.625;25695;20164;25.70;20.16
All Providers Combined;Bogotá, Bogota, Colombia;;jul-22;804514;242910;all;N/A;median;242910;8;155.708;63.625;93863;32776;93.86;32.78
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jul-22;121377;36476;all;N/A;median;36476;18;32.2;96.113;77511;28336;77.51;28.34
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;jul-22;58566;17449;all;N/A;median;17449;14;513.559;93.603;86985;29617;86.99;29.62
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jul-22;209024;63345;all;N/A;median;63345;10;324.655;8.925;91314;24325;91.31;24.33
Movistar;Bogotá, Bogota, Colombia;;jul-22;100224;30851;all;N/A;median;30851;6;103.247;51.527;164130;137227;164.13;137.23
Movistar;Cali, Cali, Valle del Cauca, Colombia;;jul-22;32433;10800;all;N/A;median;10800;19;240.625;71.855;142353;128377;142.35;128.38
Movistar;Barranquilla, Barranquilla, Atlantico, Colombia;;jul-22;21704;6996;all;N/A;median;6996;35;474.152;89.822;121643;100291;121.64;100.29
Movistar;Medellín, Medellin, Antioquia, Colombia;;jul-22;29929;8217;all;N/A;median;8217;18;395.314;6.8;219168;200370;219.17;200.37
Claro;Bogotá, Bogota, Colombia;;jul-22;333278;104276;all;N/A;median;104276;10;18.55;79.125;90023;30156;90.02;30.16
