Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Claro,"Amazonas, Colombia",,Jan 2019,17,10,N/A,cellular,mean,10,75,9858,8739,9.86,8.74
Claro,"Antioquia, Colombia",,Jan 2019,3550,1739,N/A,cellular,mean,1739,66,18106,8800,18.11,8.8
Claro,"Arauca, Colombia",,Jan 2019,35,21,N/A,cellular,mean,21,63,4702,7581,4.7,7.58
Claro,"Atlantico, Colombia",,Jan 2019,1003,408,N/A,cellular,mean,408,50,22967,11115,22.97,11.12
Claro,"Bogota, Colombia",,Jan 2019,10214,4741,N/A,cellular,mean,4741,56,17023,9383,17.02,9.38
Claro,"Bolivar, Colombia",,Jan 2019,480,234,N/A,cellular,mean,234,68,19769,9359,19.77,9.36
Claro,"Boyaca, Colombia",,Jan 2019,504,289,N/A,cellular,mean,289,72,14709,7882,14.71,7.88
Claro,"Caldas, Colombia",,Jan 2019,289,162,N/A,cellular,mean,162,72,20997,9429,21,9.43
Claro,"Caquetá, Colombia",,Jan 2019,177,69,N/A,cellular,mean,69,73,13668,7783,13.67,7.78
Claro,"Casanare, Colombia",,Jan 2019,158,82,N/A,cellular,mean,82,59,17400,9821,17.4,9.82
Claro,"Cauca Department, Colombia",,Jan 2019,270,114,N/A,cellular,mean,114,68,18279,8627,18.28,8.63
Claro,"Cesar, Colombia",,Jan 2019,300,120,N/A,cellular,mean,120,68,19301,8896,19.3,8.9
Claro,"Choco, Colombia",,Jan 2019,84,38,N/A,cellular,mean,38,98,6617,6373,6.62,6.37
Claro,"Cordoba, Colombia",,Jan 2019,234,114,N/A,cellular,mean,114,75,19643,9294,19.64,9.29
Claro,"Cundinamarca, Colombia",,Jan 2019,1612,772,N/A,cellular,mean,772,56,16430,7876,16.43,7.88
Claro,"Guainia, Colombia",,Jan 2019,16,5,N/A,cellular,mean,5,93,1305,7690,1.31,7.69
Claro,"Huila, Colombia",,Jan 2019,294,143,N/A,cellular,mean,143,72,18801,8266,18.8,8.27
Claro,"La Guajira, Colombia",,Jan 2019,151,47,N/A,cellular,mean,47,80,10510,4777,10.51,4.78
Claro,"Magdalena, Colombia",,Jan 2019,423,139,N/A,cellular,mean,139,62,16625,8596,16.63,8.6
Claro,"Meta, Colombia",,Jan 2019,631,247,N/A,cellular,mean,247,63,19222,9894,19.22,9.89
Claro,"Narino, Colombia",,Jan 2019,203,93,N/A,cellular,mean,93,77,17902,7894,17.9,7.89
Claro,"North Santander, Colombia",,Jan 2019,338,174,N/A,cellular,mean,174,71,17798,9495,17.8,9.5
Claro,"Putumayo, Colombia",,Jan 2019,139,35,N/A,cellular,mean,35,98,9527,5284,9.53,5.28
Claro,"Quindio, Colombia",,Jan 2019,359,118,N/A,cellular,mean,118,75,20218,9270,20.22,9.27
Claro,"Risaralda, Colombia",,Jan 2019,475,206,N/A,cellular,mean,206,71,20779,8999,20.78,9
Claro,"San Andrés and Providencia, Colombia",,Jan 2019,167,51,N/A,cellular,mean,51,100,6841,7799,6.84,7.8
Claro,"Santander Department, Colombia",,Jan 2019,639,271,N/A,cellular,mean,271,69,19826,8451,19.83,8.45
Claro,"Sucre, Colombia",,Jan 2019,137,72,N/A,cellular,mean,72,74,18449,8897,18.45,8.9
Claro,"Tolima, Colombia",,Jan 2019,516,221,N/A,cellular,mean,221,60,18251,7461,18.25,7.46
Claro,"Valle del Cauca, Colombia",,Jan 2019,1961,890,N/A,cellular,mean,890,68,21203,8634,21.2,8.63
Claro,"Vichada, Colombia",,Jan 2019,13,2,N/A,cellular,mean,2,106,5515,4364,5.52,4.36
Claro,"Guaviare, Colombia",,Jan 2019,13,5,N/A,cellular,mean,5,76,13575,7863,13.58,7.86
Tigo,"Antioquia, Colombia",,Jan 2019,4788,1690,N/A,cellular,mean,1690,42,19376,9138,19.38,9.14
Tigo,"Atlantico, Colombia",,Jan 2019,3024,923,N/A,cellular,mean,923,37,17849,9235,17.85,9.24
Tigo,"Bogota, Colombia",,Jan 2019,7169,2615,N/A,cellular,mean,2615,34,21489,11447,21.49,11.45
Tigo,"Bolivar, Colombia",,Jan 2019,918,351,N/A,cellular,mean,351,44,17039,8659,17.04,8.66
Tigo,"Boyaca, Colombia",,Jan 2019,281,103,N/A,cellular,mean,103,53,15491,7650,15.49,7.65
Tigo,"Caldas, Colombia",,Jan 2019,184,97,N/A,cellular,mean,97,79,17309,10034,17.31,10.03
Tigo,"Caquetá, Colombia",,Jan 2019,5,3,N/A,cellular,mean,3,51,5866,5993,5.87,5.99
Tigo,"Casanare, Colombia",,Jan 2019,81,17,N/A,cellular,mean,17,49,15717,6460,15.72,6.46
Tigo,"Cauca Department, Colombia",,Jan 2019,206,63,N/A,cellular,mean,63,62,19636,11221,19.64,11.22
Tigo,"Cesar, Colombia",,Jan 2019,192,73,N/A,cellular,mean,73,49,13868,9168,13.87,9.17
Tigo,"Choco, Colombia",,Jan 2019,10,5,N/A,cellular,mean,5,68,34568,6413,34.57,6.41
Tigo,"Cordoba, Colombia",,Jan 2019,296,102,N/A,cellular,mean,102,52,10905,7260,10.91,7.26
Tigo,"Cundinamarca, Colombia",,Jan 2019,1016,400,N/A,cellular,mean,400,46,16401,8407,16.4,8.41
Tigo,"Huila, Colombia",,Jan 2019,170,44,N/A,cellular,mean,44,60,3651,7314,3.65,7.31
Tigo,"La Guajira, Colombia",,Jan 2019,285,93,N/A,cellular,mean,93,51,9444,8118,9.44,8.12
Tigo,"Magdalena, Colombia",,Jan 2019,412,169,N/A,cellular,mean,169,41,13012,7657,13.01,7.66
Tigo,"Meta, Colombia",,Jan 2019,182,64,N/A,cellular,mean,64,50,16840,9304,16.84,9.3
Tigo,"Narino, Colombia",,Jan 2019,77,40,N/A,cellular,mean,40,62,20666,12896,20.67,12.9
Tigo,"North Santander, Colombia",,Jan 2019,346,125,N/A,cellular,mean,125,42,14856,9869,14.86,9.87
