Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Magdalena, Colombia",,feb-21,1723,587,N/A,cellular,mean,587,44,17402,9988,17.4,9.99
All Providers Combined,"Meta, Colombia",,feb-21,1751,675,N/A,cellular,mean,675,60,13837,9302,13.84,9.3
All Providers Combined,"Narino, Colombia",,feb-21,1110,355,N/A,cellular,mean,355,60,15473,9306,15.47,9.31
All Providers Combined,"North Santander, Colombia",,feb-21,2270,633,N/A,cellular,mean,633,61,12858,8825,12.86,8.83
All Providers Combined,"Putumayo, Colombia",,feb-21,150,68,N/A,cellular,mean,68,116,7664,4703,7.66,4.7
All Providers Combined,"Quindio, Colombia",,feb-21,965,384,N/A,cellular,mean,384,59,17015,10022,17.02,10.02
All Providers Combined,"Risaralda, Colombia",,feb-21,1601,652,N/A,cellular,mean,652,56,15765,7876,15.77,7.88
All Providers Combined,"San Andrés and Providencia, Colombia",,feb-21,1291,211,N/A,cellular,mean,211,129,10164,9179,10.16,9.18
All Providers Combined,"Santander Department, Colombia",,feb-21,5736,1701,N/A,cellular,mean,1701,50,14679,8352,14.68,8.35
All Providers Combined,"Sucre, Colombia",,feb-21,697,310,N/A,cellular,mean,310,55,18813,10215,18.81,10.22
All Providers Combined,"Tolima, Colombia",,feb-21,1976,627,N/A,cellular,mean,627,48,17319,8479,17.32,8.48
All Providers Combined,"Valle del Cauca, Colombia",,feb-21,11635,3863,N/A,cellular,mean,3863,50,16293,10142,16.29,10.14
All Providers Combined,"Vaupes, Colombia",,feb-21,8,3,N/A,cellular,mean,3,137,1550,3368,1.55,3.37
All Providers Combined,"Vichada, Colombia",,feb-21,25,8,N/A,cellular,mean,8,95,897,6247,0.9,6.25
All Providers Combined,"Guaviare, Colombia",,feb-21,92,41,N/A,cellular,mean,41,51,14440,7725,14.44,7.73
All Providers Combined,"Amazonas, Colombia",,mar-21,31,12,N/A,cellular,mean,12,108,1032,4633,1.03,4.63
All Providers Combined,"Antioquia, Colombia",,mar-21,15662,6015,N/A,cellular,mean,6015,52,18127,9722,18.13,9.72
All Providers Combined,"Arauca, Colombia",,mar-21,310,106,N/A,cellular,mean,106,72,6125,7214,6.13,7.21
All Providers Combined,"Atlantico, Colombia",,mar-21,8754,2901,N/A,cellular,mean,2901,37,20108,11254,20.11,11.25
All Providers Combined,"Bogota, Colombia",,mar-21,50932,16103,N/A,cellular,mean,16103,38,17328,10108,17.33,10.11
All Providers Combined,"Bolivar, Colombia",,mar-21,2507,948,N/A,cellular,mean,948,44,18846,10011,18.85,10.01
All Providers Combined,"Boyaca, Colombia",,mar-21,2482,948,N/A,cellular,mean,948,63,10368,7867,10.37,7.87
All Providers Combined,"Caldas, Colombia",,mar-21,1645,563,N/A,cellular,mean,563,61,15154,8463,15.15,8.46
All Providers Combined,"Caquetá, Colombia",,mar-21,705,142,N/A,cellular,mean,142,87,10295,8010,10.3,8.01
All Providers Combined,"Casanare, Colombia",,mar-21,920,303,N/A,cellular,mean,303,57,11461,8380,11.46,8.38
All Providers Combined,"Cauca Department, Colombia",,mar-21,1104,417,N/A,cellular,mean,417,56,15626,8928,15.63,8.93
All Providers Combined,"Cesar, Colombia",,mar-21,1715,628,N/A,cellular,mean,628,50,14819,8218,14.82,8.22
All Providers Combined,"Choco, Colombia",,mar-21,232,119,N/A,cellular,mean,119,105,6151,4942,6.15,4.94
All Providers Combined,"Cordoba, Colombia",,mar-21,1327,489,N/A,cellular,mean,489,55,15530,9392,15.53,9.39
All Providers Combined,"Cundinamarca, Colombia",,mar-21,9996,3474,N/A,cellular,mean,3474,45,12456,7826,12.46,7.83
All Providers Combined,"Guainia, Colombia",,mar-21,8,4,N/A,cellular,mean,4,186,6574,5170,6.57,5.17
All Providers Combined,"Huila, Colombia",,mar-21,1275,472,N/A,cellular,mean,472,56,13257,7855,13.26,7.86
All Providers Combined,"La Guajira, Colombia",,mar-21,1120,283,N/A,cellular,mean,283,47,12994,9138,12.99,9.14
All Providers Combined,"Magdalena, Colombia",,mar-21,2178,691,N/A,cellular,mean,691,46,17204,10469,17.2,10.47
All Providers Combined,"Meta, Colombia",,mar-21,1802,744,N/A,cellular,mean,744,53,12266,8845,12.27,8.85
All Providers Combined,"Narino, Colombia",,mar-21,1139,401,N/A,cellular,mean,401,63,16130,10129,16.13,10.13
All Providers Combined,"North Santander, Colombia",,mar-21,2850,749,N/A,cellular,mean,749,60,12646,8452,12.65,8.45
All Providers Combined,"Putumayo, Colombia",,mar-21,537,99,N/A,cellular,mean,99,123,8380,5509,8.38,5.51
All Providers Combined,"Quindio, Colombia",,mar-21,1059,444,N/A,cellular,mean,444,59,17844,9732,17.84,9.73
All Providers Combined,"Risaralda, Colombia",,mar-21,1553,705,N/A,cellular,mean,705,62,14708,7176,14.71,7.18
All Providers Combined,"San Andrés and Providencia, Colombia",,mar-21,982,224,N/A,cellular,mean,224,93,12025,8409,12.03,8.41
All Providers Combined,"Santander Department, Colombia",,mar-21,7318,1884,N/A,cellular,mean,1884,47,15015,8477,15.02,8.48
All Providers Combined,"Sucre, Colombia",,mar-21,1485,334,N/A,cellular,mean,334,66,16173,9548,16.17,9.55
All Providers Combined,"Tolima, Colombia",,mar-21,1868,724,N/A,cellular,mean,724,43,16166,8148,16.17,8.15
All Providers Combined,"Valle del Cauca, Colombia",,mar-21,12107,3872,N/A,cellular,mean,3872,50,17758,10063,17.76,10.06
All Providers Combined,"Vaupes, Colombia",,mar-21,73,5,N/A,cellular,mean,5,220,1277,3178,1.28,3.18
All Providers Combined,"Vichada, Colombia",,mar-21,17,9,N/A,cellular,mean,9,89,602,3737,0.6,3.74
All Providers Combined,"Guaviare, Colombia",,mar-21,237,55,N/A,cellular,mean,55,59,10477,8017,10.48,8.02
All Providers Combined,"Amazonas, Colombia",,Apr 2021,39,17,N/A,cellular,mean,17,184,4168,7171,4.17,7.17
All Providers Combined,"Antioquia, Colombia",,Apr 2021,24560,7226,N/A,cellular,mean,7226,54,19373,9555,19.37,9.56
All Providers Combined,"Arauca, Colombia",,Apr 2021,585,124,N/A,cellular,mean,124,76,7596,6403,7.6,6.4
All Providers Combined,"Atlantico, Colombia",,Apr 2021,12769,3674,N/A,cellular,mean,3674,40,20011,11018,20.01,11.02
All Providers Combined,"Bogota, Colombia",,Apr 2021,62129,19256,N/A,cellular,mean,19256,46,18396,9834,18.4,9.83
All Providers Combined,"Bolivar, Colombia",,Apr 2021,4233,1017,N/A,cellular,mean,1017,49,20942,9608,20.94,9.61
All Providers Combined,"Boyaca, Colombia",,Apr 2021,3453,1095,N/A,cellular,mean,1095,60,12927,8058,12.93,8.06
All Providers Combined,"Caldas, Colombia",,Apr 2021,2056,707,N/A,cellular,mean,707,55,17687,9504,17.69,9.5
All Providers Combined,"Caquetá, Colombia",,Apr 2021,2402,212,N/A,cellular,mean,212,78,11488,7340,11.49,7.34
All Providers Combined,"Casanare, Colombia",,Apr 2021,967,322,N/A,cellular,mean,322,60,10549,8324,10.55,8.32
All Providers Combined,"Cauca Department, Colombia",,Apr 2021,1483,495,N/A,cellular,mean,495,63,14419,8506,14.42,8.51
All Providers Combined,"Cesar, Colombia",,Apr 2021,2099,679,N/A,cellular,mean,679,59,14934,7821,14.93,7.82
All Providers Combined,"Choco, Colombia",,Apr 2021,380,117,N/A,cellular,mean,117,85,9059,5873,9.06,5.87
All Providers Combined,"Cordoba, Colombia",,Apr 2021,6762,661,N/A,cellular,mean,661,82,18190,8446,18.19,8.45
All Providers Combined,"Cundinamarca, Colombia",,Apr 2021,12846,4129,N/A,cellular,mean,4129,48,14232,7889,14.23,7.89
All Providers Combined,"Guainia, Colombia",,Apr 2021,58,11,N/A,cellular,mean,11,117,2042,2715,2.04,2.72
All Providers Combined,"Huila, Colombia",,Apr 2021,1898,530,N/A,cellular,mean,530,59,14598,8168,14.6,8.17
All Providers Combined,"La Guajira, Colombia",,Apr 2021,1494,298,N/A,cellular,mean,298,68,12209,8996,12.21,9
All Providers Combined,"Magdalena, Colombia",,Apr 2021,2818,813,N/A,cellular,mean,813,50,18578,9489,18.58,9.49
All Providers Combined,"Meta, Colombia",,Apr 2021,2403,835,N/A,cellular,mean,835,54,14470,8872,14.47,8.87
All Providers Combined,"Narino, Colombia",,Apr 2021,1421,446,N/A,cellular,mean,446,62,17252,9798,17.25,9.8
All Providers Combined,"North Santander, Colombia",,Apr 2021,3184,839,N/A,cellular,mean,839,61,14239,8411,14.24,8.41
All Providers Combined,"Putumayo, Colombia",,Apr 2021,3194,122,N/A,cellular,mean,122,150,9341,5999,9.34,6
All Providers Combined,"Quindio, Colombia",,Apr 2021,1420,492,N/A,cellular,mean,492,56,18758,10185,18.76,10.19
All Providers Combined,"Risaralda, Colombia",,Apr 2021,1879,753,N/A,cellular,mean,753,51,17812,8185,17.81,8.19
All Providers Combined,"San Andrés and Providencia, Colombia",,Apr 2021,1791,261,N/A,cellular,mean,261,125,12853,8553,12.85,8.55
All Providers Combined,"Santander Department, Colombia",,Apr 2021,9184,2211,N/A,cellular,mean,2211,51,18009,9036,18.01,9.04
All Providers Combined,"Sucre, Colombia",,Apr 2021,1383,412,N/A,cellular,mean,412,74,16140,8471,16.14,8.47
All Providers Combined,"Tolima, Colombia",,Apr 2021,2361,839,N/A,cellular,mean,839,47,16895,8152,16.9,8.15
All Providers Combined,"Valle del Cauca, Colombia",,Apr 2021,15342,4662,N/A,cellular,mean,4662,52,18635,10231,18.64,10.23
All Providers Combined,"Vaupes, Colombia",,Apr 2021,8,4,N/A,cellular,mean,4,116,832,3241,0.83,3.24
All Providers Combined,"Vichada, Colombia",,Apr 2021,86,23,N/A,cellular,mean,23,231,5987,3587,5.99,3.59
All Providers Combined,"Guaviare, Colombia",,Apr 2021,112,45,N/A,cellular,mean,45,103,9435,8188,9.44,8.19
All Providers Combined,"Amazonas, Colombia",,may-21,59,11,N/A,cellular,mean,11,142,1481,6688,1.48,6.69
All Providers Combined,"Antioquia, Colombia",,may-21,25168,7294,N/A,cellular,mean,7294,53,19104,10062,19.1,10.06
