Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Claro,"Amazonas, Colombia",,Jan 2020,26,14,N/A,cellular,mean,14,76,2115,6210,2.12,6.21
Claro,"Antioquia, Colombia",,Jan 2020,3883,2119,N/A,cellular,mean,2119,72,21902,12893,21.9,12.89
Claro,"Arauca, Colombia",,Jan 2020,49,28,N/A,cellular,mean,28,62,3956,8906,3.96,8.91
Claro,"Atlantico, Colombia",,Jan 2020,953,444,N/A,cellular,mean,444,41,28614,16061,28.61,16.06
Claro,"Bogota, Colombia",,Jan 2020,11793,6261,N/A,cellular,mean,6261,54,19223,14383,19.22,14.38
Claro,"Bolivar, Colombia",,Jan 2020,620,298,N/A,cellular,mean,298,57,22542,14410,22.54,14.41
Claro,"Boyaca, Colombia",,Jan 2020,864,429,N/A,cellular,mean,429,60,16937,11773,16.94,11.77
Claro,"Caldas, Colombia",,Jan 2020,493,276,N/A,cellular,mean,276,70,25284,13701,25.28,13.7
Claro,"Caquetá, Colombia",,Jan 2020,132,68,N/A,cellular,mean,68,79,16070,12259,16.07,12.26
Claro,"Casanare, Colombia",,Jan 2020,278,128,N/A,cellular,mean,128,51,19020,13450,19.02,13.45
Claro,"Cauca Department, Colombia",,Jan 2020,351,167,N/A,cellular,mean,167,66,23621,12693,23.62,12.69
Claro,"Cesar, Colombia",,Jan 2020,304,142,N/A,cellular,mean,142,49,25740,14110,25.74,14.11
Claro,"Choco, Colombia",,Jan 2020,165,51,N/A,cellular,mean,51,96,8838,8493,8.84,8.49
Claro,"Cordoba, Colombia",,Jan 2020,193,109,N/A,cellular,mean,109,68,23863,14478,23.86,14.48
Claro,"Cundinamarca, Colombia",,Jan 2020,2117,1160,N/A,cellular,mean,1160,50,18633,11021,18.63,11.02
Claro,"Guainia, Colombia",,Jan 2020,32,4,N/A,cellular,mean,4,61,4506,6815,4.51,6.82
Claro,"Huila, Colombia",,Jan 2020,369,183,N/A,cellular,mean,183,59,22622,11082,22.62,11.08
Claro,"La Guajira, Colombia",,Jan 2020,154,70,N/A,cellular,mean,70,55,17065,11711,17.07,11.71
Claro,"Magdalena, Colombia",,Jan 2020,441,196,N/A,cellular,mean,196,55,20640,11477,20.64,11.48
Claro,"Meta, Colombia",,Jan 2020,700,380,N/A,cellular,mean,380,56,17605,13036,17.61,13.04
Claro,"Narino, Colombia",,Jan 2020,180,120,N/A,cellular,mean,120,76,21930,11144,21.93,11.14
Claro,"North Santander, Colombia",,Jan 2020,394,227,N/A,cellular,mean,227,52,17677,11409,17.68,11.41
Claro,"Putumayo, Colombia",,Jan 2020,82,40,N/A,cellular,mean,40,63,13544,13600,13.54,13.6
Claro,"Quindio, Colombia",,Jan 2020,239,141,N/A,cellular,mean,141,75,19782,13133,19.78,13.13
Claro,"Risaralda, Colombia",,Jan 2020,512,286,N/A,cellular,mean,286,71,20840,12409,20.84,12.41
Claro,"San Andrés and Providencia, Colombia",,Jan 2020,78,33,N/A,cellular,mean,33,101,3443,7901,3.44,7.9
Claro,"Santander Department, Colombia",,Jan 2020,867,387,N/A,cellular,mean,387,54,21408,11882,21.41,11.88
Claro,"Sucre, Colombia",,Jan 2020,157,81,N/A,cellular,mean,81,67,20313,10339,20.31,10.34
Claro,"Tolima, Colombia",,Jan 2020,599,316,N/A,cellular,mean,316,55,19831,12058,19.83,12.06
