Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Aug 2019;17314;6670;N/A;3g;median;6670;57;3453;1077;3.45;1.08
All Providers Combined;Colombia;;Aug 2019;83973;31808;N/A;lte;median;31808;35;16090;11100;16.09;11.10
All Providers Combined;Colombia;;Aug 2019;101461;35797;N/A;cellular;median;35797;38;13230;8909;13.23;8.91
All Providers Combined;Colombia;;sep-19;17285;6277;N/A;3g;median;6277;57;3467;1100;3.47;1.10
All Providers Combined;Colombia;;sep-19;78554;29692;N/A;lte;median;29692;34;16058;11131;16.06;11.13
All Providers Combined;Colombia;;sep-19;95989;33473;N/A;cellular;median;33473;38;13126;8854;13.13;8.85
All Providers Combined;Colombia;;oct-19;16841;6385;N/A;3g;median;6385;56;3308;1077;3.31;1.08
All Providers Combined;Colombia;;oct-19;78474;30358;N/A;lte;median;30358;35;15862;10956;15.86;10.96
All Providers Combined;Colombia;;oct-19;95512;34009;N/A;cellular;median;34009;38;13022;8821;13.02;8.82
All Providers Combined;Colombia;;nov-19;13806;5692;N/A;3g;median;5692;57;3375;1051;3.38;1.05
All Providers Combined;Colombia;;nov-19;70310;28524;N/A;lte;median;28524;36;16446;11183;16.45;11.18
All Providers Combined;Colombia;;nov-19;84222;31938;N/A;cellular;median;31938;39;13705;9095;13.71;9.10
All Providers Combined;Colombia;;Dec 2019;13163;5496;N/A;3g;median;5496;57;3485;1078;3.49;1.08
All Providers Combined;Colombia;;Dec 2019;68256;28729;N/A;lte;median;28729;36;16734;11753;16.73;11.75
All Providers Combined;Colombia;;Dec 2019;81588;32024;N/A;cellular;median;32024;39;14018;9704;14.02;9.70
All Providers Combined;Colombia;;Jan 2020;11464;5195;N/A;3g;median;5195;57;3297;741;3.30;0.74
All Providers Combined;Colombia;;Jan 2020;66247;29501;N/A;lte;median;29501;36;16547;10453;16.55;10.45
All Providers Combined;Colombia;;Jan 2020;77865;32667;N/A;cellular;median;32667;38;14028;8539;14.03;8.54
All Providers Combined;Colombia;;feb-20;10595;4764;N/A;3g;median;4764;56;3486;762;3.49;0.76
All Providers Combined;Colombia;;feb-20;68350;29677;N/A;lte;median;29677;36;15733;10399;15.73;10.40
All Providers Combined;Colombia;;feb-20;79044;32502;N/A;cellular;median;32502;38;13600;8613;13.60;8.61
All Providers Combined;Colombia;;mar-20;14148;6115;N/A;3g;median;6115;57;3121;718;3.12;0.72
All Providers Combined;Colombia;;mar-20;87667;38229;N/A;lte;median;38229;38;14850;9301;14.85;9.30
All Providers Combined;Colombia;;mar-20;101971;42089;N/A;cellular;median;42089;39;12611;7700;12.61;7.70
All Providers Combined;Colombia;;Apr 2020;16080;6690;N/A;3g;median;6690;57;3001;701;3.00;0.70
All Providers Combined;Colombia;;Apr 2020;101230;42651;N/A;lte;median;42651;38;15943;8333;15.94;8.33
All Providers Combined;Colombia;;Apr 2020;117578;47042;N/A;cellular;median;47042;39;13603;6883;13.60;6.88
All Providers Combined;Colombia;;may-20;16763;7106;N/A;3g;median;7106;57;3259;724;3.26;0.72
All Providers Combined;Colombia;;may-20;113522;43490;N/A;lte;median;43490;37;16173;7736;16.17;7.74
All Providers Combined;Colombia;;may-20;130609;47911;N/A;cellular;median;47911;39;13915;6394;13.92;6.39
All Providers Combined;Colombia;;jun-20;14233;6401;N/A;3g;median;6401;56;3111;695;3.11;0.70
All Providers Combined;Colombia;;jun-20;108798;39132;N/A;lte;median;39132;34;16597;7865;16.60;7.87
All Providers Combined;Colombia;;jun-20;123319;42965;N/A;cellular;median;42965;36;14291;6607;14.29;6.61
All Providers Combined;Colombia;;jul-20;18095;7315;N/A;3g;median;7315;56;3156;698;3.16;0.70
All Providers Combined;Colombia;;jul-20;129998;42434;N/A;lte;median;42434;34;16119;8026;16.12;8.03
All Providers Combined;Colombia;;jul-20;148744;46612;N/A;cellular;median;46612;36;13826;6713;13.83;6.71
All Providers Combined;Colombia;;Aug 2020;15519;6884;N/A;3g;median;6884;56;3298;701;3.30;0.70
All Providers Combined;Colombia;;Aug 2020;116820;41249;N/A;lte;median;41249;34;16196;7922;16.20;7.92
All Providers Combined;Colombia;;Aug 2020;133391;45293;N/A;cellular;median;45293;36;13899;6653;13.90;6.65
All Providers Combined;Colombia;;sep-20;14870;6447;N/A;3g;median;6447;56;3386;717;3.39;0.72
All Providers Combined;Colombia;;sep-20;103211;38373;N/A;lte;median;38373;34;17116;8271;17.12;8.27
All Providers Combined;Colombia;;sep-20;119236;42263;N/A;cellular;median;42263;36;14799;7013;14.80;7.01
All Providers Combined;Colombia;;oct-20;16300;6352;N/A;3g;median;6352;55;3250;717;3.25;0.72
