Aggregate Date;municipio;region;connection_type;provider;test_count;performance_sample_count;mean_download_speed_mbps;download_speed;mean_upload_mbps;upload_speed;latency;jitter;mes;año;periodo;sample_count;mean_download_mbps;mean_latency_ms;mean_jitter;Indice_Descarga;Indice_Carga;Indice_Latencia;Indice_Jitter;Indice_CRC
2023-06-01;TUNJA;Boyaca;All Fixed;All combined;10946;;;75.244;48.931;31.058;14.0;6.0;6;2023;2023-06;3289.0;111.15;19.0;28.0;4.231073684210526;1.3160606060606062;25.0;8.8;39.34713429027113
2023-06-01;BOGOTA;Bogota;All Fixed;All combined;723873;;;115.946;116.366;48.731;7.0;4.0;6;2023;2023-06;226959.0;155.424;14.0;23.0;7.6586105263157895;2.208636363636364;25.0;9.2;44.06724688995216
2023-06-01;VALLEDUPAR;Cesar;All Fixed;All combined;12217;;;94.327;80.404;31.96;19.0;6.0;6;2023;2023-06;3721.0;131.925;26.0;30.0;5.838063157894736;1.3616161616161617;25.0;8.8;40.9996793195109
2023-06-01;CARTAGENA;Bolivar;All Fixed;All combined;23835;;;112.608;116.98;45.445;7.0;4.0;6;2023;2023-06;6700.0;144.849;14.0;21.0;7.3775157894736845;2.0426767676767676;25.0;9.2;43.620192557150446
2023-06-01;MONTERIA;Cordoba;All Fixed;All combined;10602;;;66.426;66.899;28.492;14.0;6.0;6;2023;2023-06;3427.0;109.205;21.0;28.0;3.4885052631578946;1.1864646464646467;25.0;8.8;38.474969909622544
2023-06-01;ARMENIA;Quindio;All Fixed;All combined;9375;;;128.421;108.052;32.67;20.0;5.0;6;2023;2023-06;3084.0;166.571;26.0;24.0;8.709136842105263;1.3974747474747475;25.0;9.0;44.10661158958001
2023-06-01;BARRANQUILLA;Atlantico;All Fixed;All combined;59463;;;93.576;104.643;33.253;9.0;4.0;6;2023;2023-06;19202.0;136.389;17.0;26.0;5.774821052631579;1.426919191919192;25.0;9.2;41.401740244550766
2023-06-01;CUCUTA;North Santander;All Fixed;All combined;25150;;;87.133;86.719;32.362;24.0;7.0;6;2023;2023-06;7001.0;133.59;33.0;35.0;5.232252631578946;1.381919191919192;25.0;8.6;40.21417182349814
2023-06-01;PEREIRA;Risaralda;All Fixed;All combined;23105;;;76.762;62.731;29.797;18.0;5.0;6;2023;2023-06;7061.0;116.131;22.0;33.0;4.358905263157895;1.2523737373737376;25.0;9.0;39.61127900053163
2023-06-01;NEIVA;Huila;All Fixed;All combined;14713;;;84.603;66.243;32.658;19.0;7.0;6;2023;2023-06;3991.0;120.75;25.0;29.0;5.0192;1.396868686868687;25.0;8.6;40.016068686868685
2023-06-01;MOCOA;Putumayo;All Fixed;All combined;4029;;;31.821;38.428;17.747;17.0;9.0;6;2023;2023-06;787.0;52.825;26.0;49.0;0.5744;0.6437878787878788;25.0;8.2;34.418187878787876
2023-06-01;SINCELEJO;Sucre;All Fixed;All combined;4036;;;78.14;58.338;24.431;15.0;6.0;6;2023;2023-06;1253.0;113.507;31.0;34.0;4.474947368421052;0.9813636363636364;25.0;8.8;39.25631100478469
2023-06-01;IBAGUE;Tolima;All Fixed;All combined;24451;;;103.064;121.072;52.68;9.0;4.0;6;2023;2023-06;7329.0;146.875;17.0;27.0;6.573810526315788;2.408080808080808;25.0;9.2;43.181891334396596
2023-06-01;CALI;Valle del Cauca;All Fixed;All combined;116842;;;93.715;87.43;33.279;18.0;5.0;6;2023;2023-06;34453.0;135.765;22.0;25.0;5.786526315789475;1.4282323232323235;25.0;9.0;41.214758639021795
