Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Apr 2018;11242;6065;all;N/A;median;3426;35;9047;2031;9.05;2.03
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Apr 2018;5789;3020;all;N/A;median;1605;23;5516;1318;5.52;1.32
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;may-18;28813;15780;all;N/A;median;8268;40;8834;2072;8.83;2.07
All Providers Combined;Bogotá, Bogota, Colombia;;may-18;474023;249155;all;N/A;median;135150;15;10106;2211;10.11;2.21
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;may-18;107708;56766;all;N/A;median;27463;47;8179;1974;8.18;1.97
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;may-18;205795;108453;all;N/A;median;59115;25;9295;2097;9.30;2.10
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;may-18;24008;12838;all;N/A;median;6767;15;10330;2198;10.33;2.20
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;may-18;16757;7886;all;N/A;median;3966;16;9194;2038;9.19;2.04
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;may-18;10804;5901;all;N/A;median;2610;22;7906;1805;7.91;1.81
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;may-18;13521;8102;all;N/A;median;3520;21;8809;2016;8.81;2.02
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;may-18;12177;6292;all;N/A;median;3435;37;9467;2043;9.47;2.04
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;may-18;5732;3094;all;N/A;median;1623;23;6553;1412;6.55;1.41
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;jun-18;24812;13997;all;N/A;median;7486;40;9149;2099;9.15;2.10
All Providers Combined;Bogotá, Bogota, Colombia;;jun-18;452519;234939;all;N/A;median;127284;15;10225;2244;10.23;2.24
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jun-18;95175;48884;all;N/A;median;25407;45;8772;2021;8.77;2.02
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jun-18;186234;97457;all;N/A;median;53724;23;9458;2101;9.46;2.10
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-18;27662;14666;all;N/A;median;7453;17;10329;2188;10.33;2.19
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;jun-18;15896;8164;all;N/A;median;3937;16;9514;2038;9.51;2.04
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;jun-18;8840;5005;all;N/A;median;2068;22;7985;2013;7.99;2.01
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;jun-18;14121;8042;all;N/A;median;3600;23;8328;2041;8.33;2.04
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;jun-18;10216;5544;all;N/A;median;3119;35;9653;2065;9.65;2.07
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;jun-18;5624;2866;all;N/A;median;1476;23;6737;1423;6.74;1.42
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;jul-18;27413;15544;all;N/A;median;8558;35;9763;2110;9.76;2.11
All Providers Combined;Bogotá, Bogota, Colombia;;jul-18;483557;254797;all;N/A;median;138772;15;10432;2264;10.43;2.26
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jul-18;108435;55686;all;N/A;median;27790;47;9400;2095;9.40;2.10
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jul-18;186075;98935;all;N/A;median;54573;23;9624;2102;9.62;2.10
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;jul-18;31539;17111;all;N/A;median;8491;19;10341;2203;10.34;2.20
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;jul-18;17452;9849;all;N/A;median;4471;22;9803;2026;9.80;2.03
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;jul-18;8307;4835;all;N/A;median;2017;23;8614;1967;8.61;1.97
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;jul-18;14352;8303;all;N/A;median;3811;21;9455;2110;9.46;2.11
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;jul-18;10462;5964;all;N/A;median;3286;36;10135;2095;10.14;2.10
