Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;Jan 2018;5053;2622;all;N/A;median;1306;46;5440;1166;5.44;1.17
All Providers Combined;Neiva, Neiva, Huila, Colombia;;Jan 2018;6932;3714;all;N/A;median;1893;32;5214;1084;5.21;1.08
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;Jan 2018;703;370;all;N/A;median;179;72;3486;788;3.49;0.79
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;Jan 2018;3043;1676;all;N/A;median;931;21;5247;1202;5.25;1.20
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;Jan 2018;1532;788;all;N/A;median;346;46;4990;942;4.99;0.94
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;feb-18;4522;2594;all;N/A;median;1268;41;7156;1300;7.16;1.30
All Providers Combined;Neiva, Neiva, Huila, Colombia;;feb-18;8164;4173;all;N/A;median;2036;31;5293;1121;5.29;1.12
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;feb-18;689;362;all;N/A;median;168;73;3976;871;3.98;0.87
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;feb-18;3196;1744;all;N/A;median;920;21;5233;1315;5.23;1.32
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;feb-18;1723;859;all;N/A;median;297;45;4999;999;5.00;1.00
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;mar-18;5926;3086;all;N/A;median;1494;38;7329;1491;7.33;1.49
All Providers Combined;Neiva, Neiva, Huila, Colombia;;mar-18;9081;4646;all;N/A;median;2410;28;5333;1211;5.33;1.21
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;mar-18;593;378;all;N/A;median;194;69;4084;899;4.08;0.90
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;mar-18;3810;2041;all;N/A;median;1013;21;5226;1274;5.23;1.27
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;mar-18;1492;812;all;N/A;median;254;50;4776;914;4.78;0.91
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;Apr 2018;4896;2868;all;N/A;median;1368;36;8795;1715;8.80;1.72
All Providers Combined;Neiva, Neiva, Huila, Colombia;;Apr 2018;9647;4724;all;N/A;median;2320;29;5370;1322;5.37;1.32
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;Apr 2018;723;410;all;N/A;median;216;65;3889;993;3.89;0.99
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;Apr 2018;4238;2103;all;N/A;median;1083;21;5305;1671;5.31;1.67
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;Apr 2018;1478;838;all;N/A;median;254;47;4795;942;4.80;0.94
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;may-18;5481;2964;all;N/A;median;1408;32;9732;2038;9.73;2.04
