Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
ETB;Bogotá, Bogota, Colombia;;may-19;135374;77061;all;N/A;median;42046;6;;17714;12522;17.71;12.52
All Providers Combined;Colombia;;jun-19;1651426;880840;all;N/A;median;410089;29;;10573;2758;10.57;2.76
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jun-19;125483;67755;all;N/A;median;31715;42;;10625;2712;10.63;2.71
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;jun-19;27371;15370;all;N/A;median;7017;22;;10491;2401;10.49;2.40
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jun-19;165702;87269;all;N/A;median;49343;23;;12139;3473;12.14;3.47
All Providers Combined;Bogotá, Bogota, Colombia;;jun-19;513244;274730;all;N/A;median;140329;24;;12797;3557;12.80;3.56
Movistar;Colombia;;jun-19;266081;158361;all;N/A;median;65455;36;;6947;963;6.95;0.96
Movistar;Cali, Cali, Valle del Cauca, Colombia;;jun-19;26222;15336;all;N/A;median;5776;30;;11862;5295;11.86;5.30
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;jun-19;11234;6426;all;N/A;median;2595;42;;10100;1451;10.10;1.45
Movistar;Medellín, Medellin, Antioquia, Colombia;;jun-19;3850;2232;all;N/A;median;1769;40;;6513;989;6.51;0.99
Movistar;Bogotá, Bogota, Colombia;;jun-19;43022;27096;all;N/A;median;11917;29;;7022;956;7.02;0.96
Claro;Colombia;;jun-19;699859;359844;all;N/A;median;184801;35;;12711;3215;12.71;3.22
Claro;Cali, Cali, Valle del Cauca, Colombia;;jun-19;59440;31287;all;N/A;median;16884;49;;12503;3231;12.50;3.23
Claro;Cartagena, Cartagena, Bolívar, Colombia;;jun-19;4251;2465;all;N/A;median;1411;16;;13585;3353;13.59;3.35
Claro;Medellín, Medellin, Antioquia, Colombia;;jun-19;60308;29786;all;N/A;median;17227;37;;17150;4817;17.15;4.82
Claro;Bogotá, Bogota, Colombia;;jun-19;283537;144518;all;N/A;median;75765;26;;14198;3336;14.20;3.34
Tigo;Colombia;;jun-19;363815;192463;all;N/A;median;96295;18;;10298;2423;10.30;2.42
Tigo;Cali, Cali, Valle del Cauca, Colombia;;jun-19;23062;11475;all;N/A;median;5542;25;;9741;2391;9.74;2.39
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;jun-19;10832;6104;all;N/A;median;3204;13;;10401;2326;10.40;2.33
Tigo;Medellín, Medellin, Antioquia, Colombia;;jun-19;89114;48948;all;N/A;median;27555;12;;11225;2941;11.23;2.94
Tigo;Bogotá, Bogota, Colombia;;jun-19;29230;16698;all;N/A;median;9761;11;;10555;2787;10.56;2.79
ETB;Colombia;;jun-19;161741;88630;all;N/A;median;48711;7;;15122;10407;15.12;10.41
ETB;Cali, Cali, Valle del Cauca, Colombia;;jun-19;16;13;all;N/A;median;13;33;;12894;11253;12.89;11.25
ETB;Cartagena, Cartagena, Bolívar, Colombia;;jun-19;30;19;all;N/A;median;15;98;;6704;1322;6.70;1.32
ETB;Medellín, Medellin, Antioquia, Colombia;;jun-19;1309;692;all;N/A;median;496;13;;12041;9772;12.04;9.77
ETB;Bogotá, Bogota, Colombia;;jun-19;141225;77685;all;N/A;median;43174;7;;17557;12352;17.56;12.35
All Providers Combined;Colombia;;jul-19;1780337;433329;all;N/A;median;433329;29;;11492;3329;11.49;3.33
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jul-19;134007;32943;all;N/A;median;32943;43;;10699;2976;10.70;2.98
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;jul-19;27796;7324;all;N/A;median;7324;22;;10939;2985;10.94;2.99
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jul-19;174051;51711;all;N/A;median;51711;23;;13384;4049;13.38;4.05
All Providers Combined;Bogotá, Bogota, Colombia;;jul-19;608355;160010;all;N/A;median;160010;23;;15056;4722;15.06;4.72
Movistar;Colombia;;jul-19;278516;68573;all;N/A;median;68573;35;;8373;1000;8.37;1.00
Movistar;Cali, Cali, Valle del Cauca, Colombia;;jul-19;28980;6346;all;N/A;median;6346;31;;16782;12171;16.78;12.17
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;jul-19;11235;2917;all;N/A;median;2917;40;;12170;4596;12.17;4.60
Movistar;Medellín, Medellin, Antioquia, Colombia;;jul-19;3432;1560;all;N/A;median;1560;41;;6264;966;6.26;0.97
Movistar;Bogotá, Bogota, Colombia;;jul-19;45183;11803;all;N/A;median;11803;30;;7758;951;7.76;0.95
Claro;Colombia;;jul-19;765076;194879;all;N/A;median;194879;36;;13770;3294;13.77;3.29
Claro;Cali, Cali, Valle del Cauca, Colombia;;jul-19;62159;16763;all;N/A;median;16763;49;;13048;3303;13.05;3.30
Claro;Cartagena, Cartagena, Bolívar, Colombia;;jul-19;4325;1387;all;N/A;median;1387;18;;13187;3424;13.19;3.42
Claro;Medellín, Medellin, Antioquia, Colombia;;jul-19;67293;18034;all;N/A;median;18034;37;;18381;5005;18.38;5.01
Claro;Bogotá, Bogota, Colombia;;jul-19;322740;84101;all;N/A;median;84101;28;;14669;3438;14.67;3.44
Tigo;Colombia;;jul-19;367018;96407;all;N/A;median;96407;17;;10429;3034;10.43;3.03
Tigo;Cali, Cali, Valle del Cauca, Colombia;;jul-19;22368;5051;all;N/A;median;5051;23;;10179;2879;10.18;2.88
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;jul-19;11394;3187;all;N/A;median;3187;14;;10431;2353;10.43;2.35
Tigo;Medellín, Medellin, Antioquia, Colombia;;jul-19;87428;28299;all;N/A;median;28299;12;;13029;3972;13.03;3.97
Tigo;Bogotá, Bogota, Colombia;;jul-19;34339;10411;all;N/A;median;10411;12;;11394;3680;11.39;3.68
ETB;Colombia;;jul-19;213907;61077;all;N/A;median;61077;6;;22541;16586;22.54;16.59
ETB;Cali, Cali, Valle del Cauca, Colombia;;jul-19;46;34;all;N/A;median;34;19;;6263;9857;6.26;9.86
ETB;Cartagena, Cartagena, Bolívar, Colombia;;jul-19;16;5;all;N/A;median;5;30;;5797;5856;5.80;5.86
ETB;Medellín, Medellin, Antioquia, Colombia;;jul-19;1911;749;all;N/A;median;749;12;;10692;10020;10.69;10.02
ETB;Bogotá, Bogota, Colombia;;jul-19;190128;54967;all;N/A;median;54967;6;;24268;17120;24.27;17.12
All Providers Combined;Colombia;;Aug 2019;1807380;446628;all;N/A;median;446628;30;;12174;3623;12.17;3.62
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Aug 2019;128212;32149;all;N/A;median;32149;41;;11406;3401;11.41;3.40
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2019;25827;6721;all;N/A;median;6721;21;;13014;3598;13.01;3.60
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Aug 2019;169687;49733;all;N/A;median;49733;24;;14044;4236;14.04;4.24
All Providers Combined;Bogotá, Bogota, Colombia;;Aug 2019;644037;169574;all;N/A;median;169574;25;;15824;4845;15.82;4.85
Movistar;Colombia;;Aug 2019;267813;69662;all;N/A;median;69662;34;;8953;1049;8.95;1.05
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Aug 2019;27540;6475;all;N/A;median;6475;22;;25215;20327;25.22;20.33
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2019;10717;2656;all;N/A;median;2656;38;;16462;9519;16.46;9.52
Movistar;Medellín, Medellin, Antioquia, Colombia;;Aug 2019;2827;1019;all;N/A;median;1019;37;;6706;1069;6.71;1.07
Movistar;Bogotá, Bogota, Colombia;;Aug 2019;39782;11078;all;N/A;median;11078;29;;8149;980;8.15;0.98
Claro;Colombia;;Aug 2019;820658;206784;all;N/A;median;206784;36;;14324;3476;14.32;3.48
Claro;Cali, Cali, Valle del Cauca, Colombia;;Aug 2019;62552;16725;all;N/A;median;16725;49;;14388;3698;14.39;3.70
Claro;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2019;5364;1449;all;N/A;median;1449;18;;15326;4060;15.33;4.06
Claro;Medellín, Medellin, Antioquia, Colombia;;Aug 2019;71349;18688;all;N/A;median;18688;36;;18509;5018;18.51;5.02
Claro;Bogotá, Bogota, Colombia;;Aug 2019;354877;91507;all;N/A;median;91507;30;;14926;3645;14.93;3.65
Tigo;Colombia;;Aug 2019;331057;91040;all;N/A;median;91040;17;;10516;3281;10.52;3.28
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Aug 2019;19791;4481;all;N/A;median;4481;24;;9975;3135;9.98;3.14
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2019;9309;2769;all;N/A;median;2769;14;;10455;2482;10.46;2.48
Tigo;Medellín, Medellin, Antioquia, Colombia;;Aug 2019;80658;26348;all;N/A;median;26348;11;;13789;4310;13.79;4.31
Tigo;Bogotá, Bogota, Colombia;;Aug 2019;31486;9869;all;N/A;median;9869;11;;13678;4246;13.68;4.25
ETB;Colombia;;Aug 2019;225037;63769;all;N/A;median;63769;6;;23899;18975;23.90;18.98
ETB;Cali, Cali, Valle del Cauca, Colombia;;Aug 2019;35;19;all;N/A;median;19;17;;2885;2615;2.89;2.62
ETB;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2019;18;12;all;N/A;median;12;29;;8909;10185;8.91;10.19
ETB;Medellín, Medellin, Antioquia, Colombia;;Aug 2019;1175;452;all;N/A;median;452;14;;9839;6474;9.84;6.47
ETB;Bogotá, Bogota, Colombia;;Aug 2019;201378;58134;all;N/A;median;58134;6;;25730;20217;25.73;20.22
All Providers Combined;Colombia;;sep-19;1725165;427727;all;N/A;median;427727;31;;12941;4038;12.94;4.04
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;sep-19;129236;32228;all;N/A;median;32228;42;;12063;3772;12.06;3.77
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;sep-19;24173;6264;all;N/A;median;6264;20;;13488;3825;13.49;3.83
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;sep-19;157990;48334;all;N/A;median;48334;22;;15295;4667;15.30;4.67
All Providers Combined;Bogotá, Bogota, Colombia;;sep-19;621215;161509;all;N/A;median;161509;26;;16496;4951;16.50;4.95
Movistar;Colombia;;sep-19;255409;67124;all;N/A;median;67124;34;;9087;1057;9.09;1.06
Movistar;Cali, Cali, Valle del Cauca, Colombia;;sep-19;27601;6652;all;N/A;median;6652;21;;26115;22266;26.12;22.27
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;sep-19;9525;2419;all;N/A;median;2419;38;;16121;9708;16.12;9.71
Movistar;Medellín, Medellin, Antioquia, Colombia;;sep-19;1782;838;all;N/A;median;838;36;;6242;952;6.24;0.95
Movistar;Bogotá, Bogota, Colombia;;sep-19;38012;10359;all;N/A;median;10359;28;;8453;1014;8.45;1.01
Claro;Colombia;;sep-19;797441;196698;all;N/A;median;196698;38;;14954;3993;14.95;3.99
Claro;Cali, Cali, Valle del Cauca, Colombia;;sep-19;64004;16513;all;N/A;median;16513;51;;14983;4239;14.98;4.24
Claro;Cartagena, Cartagena, Bolívar, Colombia;;sep-19;4473;1363;all;N/A;median;1363;17;;15774;4599;15.77;4.60
Claro;Medellín, Medellin, Antioquia, Colombia;;sep-19;65960;17905;all;N/A;median;17905;36;;19247;5198;19.25;5.20
Claro;Bogotá, Bogota, Colombia;;sep-19;356627;87831;all;N/A;median;87831;35;;15414;4066;15.41;4.07
Tigo;Colombia;;sep-19;316991;90508;all;N/A;median;90508;16;;10797;3652;10.80;3.65
Tigo;Cali, Cali, Valle del Cauca, Colombia;;sep-19;19131;4657;all;N/A;median;4657;23;;10264;3556;10.26;3.56
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;sep-19;9827;2657;all;N/A;median;2657;14;;10549;2935;10.55;2.94
Tigo;Medellín, Medellin, Antioquia, Colombia;;sep-19;77952;26507;all;N/A;median;26507;11;;15732;4719;15.73;4.72
Tigo;Bogotá, Bogota, Colombia;;sep-19;29637;9577;all;N/A;median;9577;11;;14833;4421;14.83;4.42
ETB;Colombia;;sep-19;199715;59062;all;N/A;median;59062;6;;24538;20009;24.54;20.01
ETB;Cali, Cali, Valle del Cauca, Colombia;;sep-19;14;14;all;N/A;median;14;20;;12833;9849;12.83;9.85
ETB;Cartagena, Cartagena, Bolívar, Colombia;;sep-19;9;9;all;N/A;median;9;32;;19258;18671;19.26;18.67
ETB;Medellín, Medellin, Antioquia, Colombia;;sep-19;1077;462;all;N/A;median;462;14;;9524;7357;9.52;7.36
ETB;Bogotá, Bogota, Colombia;;sep-19;180632;54330;all;N/A;median;54330;6;;26685;21519;26.69;21.52
All Providers Combined;Colombia;;oct-19;1797350;452072;all;N/A;median;452072;31;;14761;4841;14.76;4.84
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;oct-19;146996;35866;all;N/A;median;35866;43;;14964;4883;14.96;4.88
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;oct-19;29106;7417;all;N/A;median;7417;20;;14158;4385;14.16;4.39
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;oct-19;157079;49559;all;N/A;median;49559;24;;16630;4924;16.63;4.92
All Providers Combined;Bogotá, Bogota, Colombia;;oct-19;617742;165222;all;N/A;median;165222;27;;18409;5530;18.41;5.53
Movistar;Colombia;;oct-19;264590;69463;all;N/A;median;69481;32;;9339;1158;9.34;1.16
Movistar;Cali, Cali, Valle del Cauca, Colombia;;oct-19;28391;6729;all;N/A;median;6729;19;;29022;26990;29.02;26.99
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;oct-19;12111;3031;all;N/A;median;3032;37;;15031;9968;15.03;9.97
Movistar;Medellín, Medellin, Antioquia, Colombia;;oct-19;1862;856;all;N/A;median;855;32;;6881;1179;6.88;1.18
Movistar;Bogotá, Bogota, Colombia;;oct-19;37172;10116;all;N/A;median;10114;27;;8696;1067;8.70;1.07
Claro;Colombia;;oct-19;857263;214507;all;N/A;median;214537;39;;18204;4994;18.20;4.99
Claro;Cali, Cali, Valle del Cauca, Colombia;;oct-19;77680;19380;all;N/A;median;19381;51;;18167;5066;18.17;5.07
Claro;Cartagena, Cartagena, Bolívar, Colombia;;oct-19;5487;1524;all;N/A;median;1524;17;;19292;5105;19.29;5.11
Claro;Medellín, Medellin, Antioquia, Colombia;;oct-19;66370;19679;all;N/A;median;19682;36;;20444;5787;20.44;5.79
Claro;Bogotá, Bogota, Colombia;;oct-19;364051;91972;all;N/A;median;91986;37;;18625;5006;18.63;5.01
Tigo;Colombia;;oct-19;331731;96518;all;N/A;median;96522;16;;11436;4023;11.44;4.02
Tigo;Cali, Cali, Valle del Cauca, Colombia;;oct-19;22836;5690;all;N/A;median;5690;22;;10549;4103;10.55;4.10
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;oct-19;11175;3171;all;N/A;median;3170;13;;10834;3370;10.83;3.37
Tigo;Medellín, Medellin, Antioquia, Colombia;;oct-19;78143;26480;all;N/A;median;26481;11;;15623;4760;15.62;4.76
Tigo;Bogotá, Bogota, Colombia;;oct-19;29122;10064;all;N/A;median;10065;11;;15882;4763;15.88;4.76
ETB;Colombia;;oct-19;186161;56997;all;N/A;median;57000;6;;22450;19101;22.45;19.10
ETB;Cali, Cali, Valle del Cauca, Colombia;;oct-19;14;10;all;N/A;median;10;15;;4726;8208;4.73;8.21
ETB;Cartagena, Cartagena, Bolívar, Colombia;;oct-19;6;6;all;N/A;median;6;34;;4391;3104;4.39;3.10
ETB;Medellín, Medellin, Antioquia, Colombia;;oct-19;1044;377;all;N/A;median;377;14;;9591;9630;9.59;9.63
ETB;Bogotá, Bogota, Colombia;;oct-19;167317;52650;all;N/A;median;52654;6;;24269;20383;24.27;20.38
All Providers Combined;Colombia;;nov-19;1822597;451134;all;N/A;median;451134;31;;16062;5140;16.06;5.14
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;nov-19;150499;37148;all;N/A;median;37148;41;;17339;5239;17.34;5.24
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;nov-19;30431;8020;all;N/A;median;8020;20;;16175;4962;16.18;4.96
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;nov-19;154598;47088;all;N/A;median;47088;24;;17821;5086;17.82;5.09
All Providers Combined;Bogotá, Bogota, Colombia;;nov-19;606457;161660;all;N/A;median;161660;27;;19430;5894;19.43;5.89
Movistar;Colombia;;nov-19;280337;73519;all;N/A;median;73518;31;;10947;2390;10.95;2.39
Movistar;Cali, Cali, Valle del Cauca, Colombia;;nov-19;32395;8339;all;N/A;median;8337;18;;37678;36844;37.68;36.84
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;nov-19;12880;3441;all;N/A;median;3442;36;;18865;15558;18.87;15.56
Movistar;Medellín, Medellin, Antioquia, Colombia;;nov-19;1454;710;all;N/A;median;709;31;;7194;2918;7.19;2.92
Movistar;Bogotá, Bogota, Colombia;;nov-19;37937;10807;all;N/A;median;10806;26;;9390;1127;9.39;1.13
Claro;Colombia;;nov-19;810620;202649;all;N/A;median;202636;39;;19849;5517;19.85;5.52
Claro;Cali, Cali, Valle del Cauca, Colombia;;nov-19;73650;18250;all;N/A;median;18249;50;;19970;5767;19.97;5.77
Claro;Cartagena, Cartagena, Bolívar, Colombia;;nov-19;6210;1664;all;N/A;median;1664;17;;21399;5912;21.40;5.91
Claro;Medellín, Medellin, Antioquia, Colombia;;nov-19;61278;17634;all;N/A;median;17634;36;;24063;6016;24.06;6.02
Claro;Bogotá, Bogota, Colombia;;nov-19;339270;86330;all;N/A;median;86317;37;;19613;5341;19.61;5.34
Tigo;Colombia;;nov-19;342685;95939;all;N/A;median;95928;17;;12476;4509;12.48;4.51
Tigo;Cali, Cali, Valle del Cauca, Colombia;;nov-19;22436;5601;all;N/A;median;5600;22;;11430;4572;11.43;4.57
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;nov-19;10498;3065;all;N/A;median;3066;13;;12565;3893;12.57;3.89
Tigo;Medellín, Medellin, Antioquia, Colombia;;nov-19;79558;25865;all;N/A;median;25859;11;;16440;4967;16.44;4.97
Tigo;Bogotá, Bogota, Colombia;;nov-19;30267;9730;all;N/A;median;9727;11;;16637;4902;16.64;4.90
ETB;Colombia;;nov-19;183198;55297;all;N/A;median;55288;5;;24655;21149;24.66;21.15
ETB;Cali, Cali, Valle del Cauca, Colombia;;nov-19;17;10;all;N/A;median;10;9;;6800;7733;6.80;7.73
ETB;Cartagena, Cartagena, Bolívar, Colombia;;nov-19;7;6;all;N/A;median;6;29;;18257;21182;18.26;21.18
ETB;Medellín, Medellin, Antioquia, Colombia;;nov-19;963;347;all;N/A;median;347;14;;10285;7996;10.29;8.00
ETB;Bogotá, Bogota, Colombia;;nov-19;167419;51221;all;N/A;median;51212;5;;26664;22491;26.66;22.49
All Providers Combined;Colombia;;Dec 2019;1676077;432382;all;N/A;median;432382;31;;18561;5245;18.56;5.25
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Dec 2019;135467;36326;all;N/A;median;36326;41;;19947;5662;19.95;5.66
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Dec 2019;30305;8644;all;N/A;median;8644;17;;18369;4994;18.37;4.99
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Dec 2019;162240;49504;all;N/A;median;49504;21;;21446;5187;21.45;5.19
All Providers Combined;Bogotá, Bogota, Colombia;;Dec 2019;528898;145496;all;N/A;median;145496;27;;21286;5990;21.29;5.99
Movistar;Colombia;;Dec 2019;254844;69538;all;N/A;median;69484;30;;10910;2954;10.91;2.95
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Dec 2019;30643;8403;all;N/A;median;8402;18;;41281;41130;41.28;41.13
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;Dec 2019;12524;3506;all;N/A;median;3504;33;;16202;11488;16.20;11.49
Movistar;Medellín, Medellin, Antioquia, Colombia;;Dec 2019;963;505;all;N/A;median;505;35;;6647;1112;6.65;1.11
Movistar;Bogotá, Bogota, Colombia;;Dec 2019;35774;10411;all;N/A;median;10408;25;;9457;1140;9.46;1.14
Claro;Colombia;;Dec 2019;764333;198476;all;N/A;median;198441;38;;21574;5899;21.57;5.90
Claro;Cali, Cali, Valle del Cauca, Colombia;;Dec 2019;66250;17944;all;N/A;median;17941;48;;22570;5990;22.57;5.99
Claro;Cartagena, Cartagena, Bolívar, Colombia;;Dec 2019;5782;1803;all;N/A;median;1802;17;;23870;6009;23.87;6.01
Claro;Medellín, Medellin, Antioquia, Colombia;;Dec 2019;62403;17848;all;N/A;median;17847;35;;27363;6294;27.36;6.29
Claro;Bogotá, Bogota, Colombia;;Dec 2019;310903;81744;all;N/A;median;81734;36;;21580;5867;21.58;5.87
Tigo;Colombia;;Dec 2019;353559;104090;all;N/A;median;104061;16;;17489;4823;17.49;4.82
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Dec 2019;21508;5782;all;N/A;median;5782;19;;15788;4829;15.79;4.83
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;Dec 2019;11546;3607;all;N/A;median;3605;13;;17042;4309;17.04;4.31
Tigo;Medellín, Medellin, Antioquia, Colombia;;Dec 2019;89788;29183;all;N/A;median;29177;11;;20832;5041;20.83;5.04
Tigo;Bogotá, Bogota, Colombia;;Dec 2019;30233;10130;all;N/A;median;10123;11;;20917;5024;20.92;5.02
ETB;Colombia;;Dec 2019;148769;46912;all;N/A;median;46895;6;;24205;20241;24.21;20.24
ETB;Cali, Cali, Valle del Cauca, Colombia;;Dec 2019;19;18;all;N/A;median;18;10;;5100;4944;5.10;4.94
ETB;Cartagena, Cartagena, Bolívar, Colombia;;Dec 2019;3;3;all;N/A;median;3;33;;4742;5081;4.74;5.08
ETB;Medellín, Medellin, Antioquia, Colombia;;Dec 2019;626;262;all;N/A;median;261;12;;9601;9816;9.60;9.82
ETB;Bogotá, Bogota, Colombia;;Dec 2019;135358;43401;all;N/A;median;43384;5;;26120;21822;26.12;21.82
All Providers Combined;Colombia;;Jan 2020;1859339;471403;all;N/A;median;471403;31;;18394;5256;18.39;5.26
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Jan 2020;136013;36825;all;N/A;median;36825;40;;21038;5858;21.04;5.86
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2020;31714;8676;all;N/A;median;8676;19;;17979;4920;17.98;4.92
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Jan 2020;165777;49248;all;N/A;median;49248;21;;20996;5152;21.00;5.15
All Providers Combined;Bogotá, Bogota, Colombia;;Jan 2020;636035;170345;all;N/A;median;170345;27;;20981;5965;20.98;5.97
Movistar;Colombia;;Jan 2020;273456;74762;all;N/A;median;74762;30;;10357;2606;10.36;2.61
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Jan 2020;32081;9160;all;N/A;median;9160;18;;37549;43513;37.55;43.51
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2020;13683;3768;all;N/A;median;3768;34;;13146;7446;13.15;7.45
Movistar;Medellín, Medellin, Antioquia, Colombia;;Jan 2020;776;420;all;N/A;median;420;36;;6346;944;6.35;0.94
Movistar;Bogotá, Bogota, Colombia;;Jan 2020;43789;12438;all;N/A;median;12438;24;;9333;1101;9.33;1.10
Claro;Colombia;;Jan 2020;828485;214396;all;N/A;median;214396;38;;22638;5889;22.64;5.89
Claro;Cali, Cali, Valle del Cauca, Colombia;;Jan 2020;68526;18816;all;N/A;median;18816;46;;23534;5948;23.53;5.95
Claro;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2020;5620;1712;all;N/A;median;1712;17;;24457;5894;24.46;5.89
Claro;Medellín, Medellin, Antioquia, Colombia;;Jan 2020;59355;17585;all;N/A;median;17585;35;;27587;6252;27.59;6.25
Claro;Bogotá, Bogota, Colombia;;Jan 2020;352386;92133;all;N/A;median;92133;36;;22630;5882;22.63;5.88
Tigo;Colombia;;Jan 2020;384369;108333;all;N/A;median;108333;17;;16367;4734;16.37;4.73
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Jan 2020;21282;5915;all;N/A;median;5915;18;;16180;4771;16.18;4.77
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2020;11811;3416;all;N/A;median;3416;13;;17440;4295;17.44;4.30
Tigo;Medellín, Medellin, Antioquia, Colombia;;Jan 2020;95629;29633;all;N/A;median;29633;11;;19670;4975;19.67;4.98
Tigo;Bogotá, Bogota, Colombia;;Jan 2020;33599;10535;all;N/A;median;10535;11;;20057;4991;20.06;4.99
ETB;Colombia;;Jan 2020;192070;56867;all;N/A;median;56867;6;;23186;19848;23.19;19.85
ETB;Cali, Cali, Valle del Cauca, Colombia;;Jan 2020;114;37;all;N/A;median;37;22;;6729;4941;6.73;4.94
ETB;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2020;10;9;all;N/A;median;9;17;;7249;5557;7.25;5.56
ETB;Medellín, Medellin, Antioquia, Colombia;;Jan 2020;931;335;all;N/A;median;335;14;;9430;7919;9.43;7.92
ETB;Bogotá, Bogota, Colombia;;Jan 2020;175188;52448;all;N/A;median;52448;5;;24877;21556;24.88;21.56
All Providers Combined;Colombia;;feb-20;1944681;493070;all;N/A;median;493070;29;;21111;5778;21.11;5.78
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;feb-20;136737;37127;all;N/A;median;37127;39;;22679;5951;22.68;5.95
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;feb-20;32158;8646;all;N/A;median;8646;16;;21320;5140;21.32;5.14
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;feb-20;186602;54241;all;N/A;median;54241;19;;22860;5203;22.86;5.20
All Providers Combined;Bogotá, Bogota, Colombia;;feb-20;685128;183041;all;N/A;median;183041;27;;24450;6226;24.45;6.23
Movistar;Colombia;;feb-20;246312;71462;all;N/A;median;71462;28;;11128;3378;11.13;3.38
Movistar;Cali, Cali, Valle del Cauca, Colombia;;feb-20;28981;8974;all;N/A;median;8974;17;;40477;40874;40.48;40.87
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;feb-20;13333;3706;all;N/A;median;3706;32;;21795;16656;21.80;16.66
Movistar;Medellín, Medellin, Antioquia, Colombia;;feb-20;1014;508;all;N/A;median;508;33;;6933;950;6.93;0.95
Movistar;Bogotá, Bogota, Colombia;;feb-20;42412;12493;all;N/A;median;12493;24;;10092;1114;10.09;1.11
Claro;Colombia;;feb-20;904711;231866;all;N/A;median;231866;37;;26270;6003;26.27;6.00
Claro;Cali, Cali, Valle del Cauca, Colombia;;feb-20;69350;18575;all;N/A;median;18575;45;;26710;6042;26.71;6.04
Claro;Cartagena, Cartagena, Bolívar, Colombia;;feb-20;5990;1793;all;N/A;median;1793;15;;26669;5988;26.67;5.99
Claro;Medellín, Medellin, Antioquia, Colombia;;feb-20;61742;17905;all;N/A;median;17905;33;;29486;7560;29.49;7.56
Claro;Bogotá, Bogota, Colombia;;feb-20;400243;103443;all;N/A;median;103443;35;;26377;6010;26.38;6.01
Tigo;Colombia;;feb-20;408132;111468;all;N/A;median;111468;15;;19433;4928;19.43;4.93
Tigo;Cali, Cali, Valle del Cauca, Colombia;;feb-20;23260;5937;all;N/A;median;5937;18;;15836;4797;15.84;4.80
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;feb-20;12201;3383;all;N/A;median;3383;13;;19353;4564;19.35;4.56
Tigo;Medellín, Medellin, Antioquia, Colombia;;feb-20;110002;32413;all;N/A;median;32413;11;;22285;5056;22.29;5.06
