Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;feb-18;6088;3008;all;N/A;median;1752;12;;8024;1827;8.02;1.83
Tigo;Medellín, Medellin, Antioquia, Colombia;;feb-18;133431;68868;all;N/A;median;37448;15;;7262;1863;7.26;1.86
Tigo;Bogotá, Bogota, Colombia;;feb-18;26218;13226;all;N/A;median;7821;12;;7554;1926;7.55;1.93
ETB;Colombia;;feb-18;165776;91272;all;N/A;median;51042;13;;11420;6696;11.42;6.70
ETB;Cali, Cali, Valle del Cauca, Colombia;;feb-18;11;10;all;N/A;median;9;48;;2056;889;2.06;0.89
ETB;Cartagena, Cartagena, Bolívar, Colombia;;feb-18;4;4;all;N/A;median;4;37;;2032;1667;2.03;1.67
ETB;Medellín, Medellin, Antioquia, Colombia;;feb-18;359;192;all;N/A;median;157;22;;5796;1501;5.80;1.50
ETB;Bogotá, Bogota, Colombia;;feb-18;129904;72850;all;N/A;median;41785;11;;12158;7136;12.16;7.14
All Providers Combined;Colombia;;mar-18;1638001;835723;all;N/A;median;405034;29;;7025;1708;7.03;1.71
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;mar-18;104499;52907;all;N/A;median;26381;49;;6151;1503;6.15;1.50
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;mar-18;15752;7724;all;N/A;median;3917;16;;8218;1854;8.22;1.85
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;mar-18;206665;105239;all;N/A;median;57334;26;;7810;1988;7.81;1.99
All Providers Combined;Bogotá, Bogota, Colombia;;mar-18;534755;271286;all;N/A;median;146201;17;;9260;2112;9.26;2.11
Movistar;Colombia;;mar-18;236803;142652;all;N/A;median;61974;39;;5251;838;5.25;0.84
Movistar;Cali, Cali, Valle del Cauca, Colombia;;mar-18;6036;3744;all;N/A;median;1616;37;;7842;970;7.84;0.97
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;mar-18;2637;1559;all;N/A;median;789;61;;8486;1061;8.49;1.06
Movistar;Medellín, Medellin, Antioquia, Colombia;;mar-18;941;615;all;N/A;median;553;41;;5515;903;5.52;0.90
Movistar;Bogotá, Bogota, Colombia;;mar-18;36727;22029;all;N/A;median;11454;31;;6455;883;6.46;0.88
Claro;Colombia;;mar-18;708184;337953;all;N/A;median;181121;29;;9414;2120;9.41;2.12
Claro;Cali, Cali, Valle del Cauca, Colombia;;mar-18;56894;27548;all;N/A;median;14746;57;;8783;2069;8.78;2.07
Claro;Cartagena, Cartagena, Bolívar, Colombia;;mar-18;1878;1056;all;N/A;median;587;13;;10325;2484;10.33;2.48
Claro;Medellín, Medellin, Antioquia, Colombia;;mar-18;66366;30913;all;N/A;median;17622;40;;10200;2403;10.20;2.40
Claro;Bogotá, Bogota, Colombia;;mar-18;277013;132931;all;N/A;median;73182;15;;10133;2145;10.13;2.15
Tigo;Colombia;;mar-18;291250;148787;all;N/A;median;77552;19;;6890;1828;6.89;1.83
Tigo;Cali, Cali, Valle del Cauca, Colombia;;mar-18;18355;8888;all;N/A;median;4628;26;;5341;1826;5.34;1.83
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;mar-18;7876;3674;all;N/A;median;2026;13;;7851;1900;7.85;1.90
Tigo;Medellín, Medellin, Antioquia, Colombia;;mar-18;120924;63941;all;N/A;median;35514;15;;7258;1828;7.26;1.83
Tigo;Bogotá, Bogota, Colombia;;mar-18;27429;14118;all;N/A;median;8387;11;;7246;1884;7.25;1.88
ETB;Colombia;;mar-18;167151;93192;all;N/A;median;51532;13;;11733;6768;11.73;6.77
ETB;Cali, Cali, Valle del Cauca, Colombia;;mar-18;12;9;all;N/A;median;8;18;;960;4072;0.96;4.07
ETB;Cartagena, Cartagena, Bolívar, Colombia;;mar-18;4;4;all;N/A;median;4;47;;1350;443;1.35;0.44
ETB;Medellín, Medellin, Antioquia, Colombia;;mar-18;458;259;all;N/A;median;209;17;;5985;1889;5.99;1.89
ETB;Bogotá, Bogota, Colombia;;mar-18;134913;76173;all;N/A;median;43025;10;;12337;7462;12.34;7.46
All Providers Combined;Colombia;;Apr 2018;1607045;827680;all;N/A;median;399877;29;;7927;1932;7.93;1.93
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Apr 2018;108468;54897;all;N/A;median;26759;49;;7798;1918;7.80;1.92
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Apr 2018;16225;8052;all;N/A;median;3848;17;;8512;1920;8.51;1.92
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Apr 2018;215524;111613;all;N/A;median;61120;25;;8892;2076;8.89;2.08
All Providers Combined;Bogotá, Bogota, Colombia;;Apr 2018;493140;253277;all;N/A;median;137200;16;;9846;2173;9.85;2.17
Movistar;Colombia;;Apr 2018;235166;143132;all;N/A;median;61303;39;;5364;854;5.36;0.85
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Apr 2018;6398;4078;all;N/A;median;1736;36;;9454;1063;9.45;1.06
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;Apr 2018;3431;2014;all;N/A;median;872;60;;8464;1059;8.46;1.06
