Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,2020,71705,17500,N/A,cellular,mean,17500,48,20651,10868,20.65,10.87
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,2020,6031,1753,N/A,cellular,mean,1753,54,20486,10643,20.49,10.64
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,2020,12937,3400,N/A,cellular,mean,3400,42,20455,11349,20.46,11.35
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,2020,8066,2811,N/A,cellular,mean,2811,54,20330,10203,20.33,10.20
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,2020,100362,30956,N/A,cellular,mean,30956,50,20201,10222,20.20,10.22
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,2020,7054,1588,N/A,cellular,mean,1588,59,20000,11300,20.00,11.30
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,2020,3725,933,N/A,cellular,mean,933,87,19470,10945,19.47,10.95
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,2020,26767,6621,N/A,cellular,mean,6621,52,18124,9186,18.12,9.19
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,2020,5703,1695,N/A,cellular,mean,1695,44,17772,11058,17.77,11.06
All Providers Combined,Colombia,,2021,1761338,277283,N/A,cellular,mean,277283,49,17608,9926,17.61,9.93
All Providers Combined,"Bogotá, Bogota, Colombia",,2021,567779,116557,N/A,cellular,mean,116557,44,18084,10224,18.08,10.22
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,2021,104521,22264,N/A,cellular,mean,22264,50,19920,11045,19.92,11.05
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,2021,10812,2768,N/A,cellular,mean,2768,55,18288,10539,18.29,10.54
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,2021,13252,2982,N/A,cellular,mean,2982,40,19920,9555,19.92,9.56
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,2021,7453,1950,N/A,cellular,mean,1950,56,18607,11009,18.61,11.01
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,2021,7877,1682,N/A,cellular,mean,1682,53,17993,10765,17.99,10.77
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,2021,20077,5248,N/A,cellular,mean,5248,42,22169,11580,22.17,11.58
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,2021,7699,1566,N/A,cellular,mean,1566,54,19835,12013,19.84,12.01
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,2021,82331,20113,N/A,cellular,mean,20113,42,21186,11654,21.19,11.65
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,2021,9432,2571,N/A,cellular,mean,2571,47,18490,10240,18.49,10.24
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,2021,13374,3550,N/A,cellular,mean,3550,46,17467,10355,17.47,10.36
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,2021,12564,3239,N/A,cellular,mean,3239,54,16920,8985,16.92,8.99
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,2021,141620,35096,N/A,cellular,mean,35096,50,19243,10482,19.24,10.48
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,2021,7198,1940,N/A,cellular,mean,1940,49,22574,11906,22.57,11.91
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,2021,5630,1334,N/A,cellular,mean,1334,51,19618,11351,19.62,11.35
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,2021,34231,7110,N/A,cellular,mean,7110,49,19024,10528,19.02,10.53
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,2021,7149,1745,N/A,cellular,mean,1745,45,14951,9699,14.95,9.70
