Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Colombia,,Jan 2019,86526,30287,N/A,cellular,mean,30287,51,18392,9838,18.39,9.84
All Providers Combined,"Bogotá, Bogota, Colombia",,Jan 2019,36151,12953,N/A,cellular,mean,12953,43,18381,10392,18.38,10.39
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,Jan 2019,4718,2264,N/A,cellular,mean,2264,51,23678,12336,23.68,12.34
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,Jan 2019,480,236,N/A,cellular,mean,236,59,21474,11315,21.47,11.32
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,Jan 2019,517,293,N/A,cellular,mean,293,46,20252,9394,20.25,9.39
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,Jan 2019,400,164,N/A,cellular,mean,164,64,21966,10910,21.97,10.91
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,Jan 2019,272,129,N/A,cellular,mean,129,53,24021,13536,24.02,13.54
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,Jan 2019,1550,694,N/A,cellular,mean,694,57,17855,9969,17.86,9.97
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,Jan 2019,251,139,N/A,cellular,mean,139,62,21474,12810,21.47,12.81
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,Jan 2019,4559,1652,N/A,cellular,mean,1652,47,20608,10829,20.61,10.83
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,Jan 2019,353,174,N/A,cellular,mean,174,57,15272,10230,15.27,10.23
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,Jan 2019,771,317,N/A,cellular,mean,317,48,23279,10955,23.28,10.96
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,Jan 2019,547,285,N/A,cellular,mean,285,55,21689,11637,21.69,11.64
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,Jan 2019,8132,3557,N/A,cellular,mean,3557,50,19133,9668,19.13,9.67
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,Jan 2019,268,139,N/A,cellular,mean,139,61,15002,10830,15,10.83
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,Jan 2019,144,81,N/A,cellular,mean,81,59,14525,10093,14.53,10.09
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,Jan 2019,1371,598,N/A,cellular,mean,598,57,19517,10898,19.52,10.9
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,Jan 2019,352,195,N/A,cellular,mean,195,45,16969,9737,16.97,9.74
All Providers Combined,Colombia,,feb-19,80565,28546,N/A,cellular,mean,28546,50,17081,9462,17.08,9.46
All Providers Combined,"Bogotá, Bogota, Colombia",,feb-19,35338,12646,N/A,cellular,mean,12646,43,16128,9592,16.13,9.59
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,feb-19,4703,1901,N/A,cellular,mean,1901,52,22082,12557,22.08,12.56
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,feb-19,425,230,N/A,cellular,mean,230,52,23375,12425,23.38,12.43
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,feb-19,441,238,N/A,cellular,mean,238,41,21339,9410,21.34,9.41
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,feb-19,296,152,N/A,cellular,mean,152,62,20520,10885,20.52,10.89
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,feb-19,270,138,N/A,cellular,mean,138,55,19050,10754,19.05,10.75
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,feb-19,1113,544,N/A,cellular,mean,544,57,19445,9906,19.45,9.91
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,feb-19,235,148,N/A,cellular,mean,148,57,19659,11992,19.66,11.99
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,feb-19,4208,1547,N/A,cellular,mean,1547,45,18433,9589,18.43,9.59
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,feb-19,323,180,N/A,cellular,mean,180,51,16443,9490,16.44,9.49
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,feb-19,575,300,N/A,cellular,mean,300,49,21515,10894,21.52,10.89
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,feb-19,588,268,N/A,cellular,mean,268,65,20783,11496,20.78,11.5
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,feb-19,8089,3594,N/A,cellular,mean,3594,53,17623,9164,17.62,9.16
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,feb-19,193,119,N/A,cellular,mean,119,59,16095,11464,16.1,11.46
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,feb-19,115,59,N/A,cellular,mean,59,48,16615,10884,16.62,10.88
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,feb-19,1409,608,N/A,cellular,mean,608,57,18609,10388,18.61,10.39
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,feb-19,336,166,N/A,cellular,mean,166,47,16965,10305,16.97,10.31
All Providers Combined,Colombia,,mar-19,89331,30724,N/A,cellular,mean,30724,50,16950,9160,16.95,9.16
All Providers Combined,"Bogotá, Bogota, Colombia",,mar-19,37109,13450,N/A,cellular,mean,13450,45,15600,9153,15.6,9.15
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,mar-19,5582,2199,N/A,cellular,mean,2199,52,22355,12339,22.36,12.34
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,mar-19,445,231,N/A,cellular,mean,231,54,24296,12443,24.3,12.44
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,mar-19,599,291,N/A,cellular,mean,291,46,20782,9924,20.78,9.92
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,mar-19,395,180,N/A,cellular,mean,180,62,21928,10881,21.93,10.88
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,mar-19,258,128,N/A,cellular,mean,128,52,22031,12430,22.03,12.43
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,mar-19,1727,645,N/A,cellular,mean,645,54,18017,9889,18.02,9.89
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,mar-19,403,215,N/A,cellular,mean,215,57,20839,12600,20.84,12.6
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,mar-19,4336,1655,N/A,cellular,mean,1655,47,18313,9760,18.31,9.76
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,mar-19,454,198,N/A,cellular,mean,198,49,14181,9232,14.18,9.23
