Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,mar-20,478,191,N/A,cellular,mean,191,57,22177,14700,22.18,14.7
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,mar-20,4721,2072,N/A,cellular,mean,2072,44,19946,11051,19.95,11.05
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,mar-20,458,210,N/A,cellular,mean,210,43,18374,11273,18.37,11.27
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,mar-20,1172,446,N/A,cellular,mean,446,47,19069,13634,19.07,13.63
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,mar-20,573,309,N/A,cellular,mean,309,57,19423,13023,19.42,13.02
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,mar-20,8718,4193,N/A,cellular,mean,4193,53,19483,11425,19.48,11.43
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,mar-20,299,152,N/A,cellular,mean,152,54,19968,13793,19.97,13.79
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,mar-20,259,87,N/A,cellular,mean,87,53,19436,12399,19.44,12.4
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,mar-20,1597,748,N/A,cellular,mean,748,56,16076,8820,16.08,8.82
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,mar-20,377,205,N/A,cellular,mean,205,48,17853,12119,17.85,12.12
All Providers Combined,Colombia,,Apr 2020,117578,47042,N/A,cellular,mean,47042,48,18666,10354,18.67,10.35
All Providers Combined,"Bogotá, Bogota, Colombia",,Apr 2020,52856,21983,N/A,cellular,mean,21983,42,17619,10424,17.62,10.42
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,Apr 2020,7421,3533,N/A,cellular,mean,3533,52,23238,12113,23.24,12.11
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,Apr 2020,624,342,N/A,cellular,mean,342,58,25354,14311,25.35,14.31
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,Apr 2020,578,341,N/A,cellular,mean,341,42,24800,11165,24.8,11.17
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,Apr 2020,441,199,N/A,cellular,mean,199,57,25428,13257,25.43,13.26
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,Apr 2020,302,165,N/A,cellular,mean,165,56,23553,11164,23.55,11.16
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,Apr 2020,1223,551,N/A,cellular,mean,551,52,22758,10894,22.76,10.89
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,Apr 2020,392,182,N/A,cellular,mean,182,54,24003,13910,24,13.91
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,Apr 2020,4834,2075,N/A,cellular,mean,2075,42,21672,10940,21.67,10.94
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,Apr 2020,416,186,N/A,cellular,mean,186,46,23115,12705,23.12,12.71
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,Apr 2020,909,460,N/A,cellular,mean,460,51,21058,12473,21.06,12.47
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,Apr 2020,595,336,N/A,cellular,mean,336,60,21000,10950,21,10.95
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,Apr 2020,8363,3871,N/A,cellular,mean,3871,55,21385,11071,21.39,11.07
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,Apr 2020,266,149,N/A,cellular,mean,149,55,22621,12460,22.62,12.46
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,Apr 2020,200,97,N/A,cellular,mean,97,53,20135,10763,20.14,10.76
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,Apr 2020,1769,829,N/A,cellular,mean,829,53,20379,10181,20.38,10.18
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,Apr 2020,395,227,N/A,cellular,mean,227,41,18404,13656,18.4,13.66
All Providers Combined,Colombia,,may-20,130609,47911,N/A,cellular,mean,47911,48,18718,9355,18.72,9.36
All Providers Combined,"Bogotá, Bogota, Colombia",,may-20,58693,22128,N/A,cellular,mean,22128,42,17606,9531,17.61,9.53
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,may-20,8547,3348,N/A,cellular,mean,3348,47,22851,11111,22.85,11.11
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,may-20,977,309,N/A,cellular,mean,309,53,26252,12480,26.25,12.48
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,may-20,859,363,N/A,cellular,mean,363,39,24806,9407,24.81,9.41
